__typename,id,createdAt,signatureCount,petition__slug,title,description,photo,video,embeddedMedia,dmResponse,status_manual
MilestonePetitionUpdate,28245649,2020-12-19 03:54:09+00:00,100000.0,justice-for-johnny-depp,,,,,,,against
MilestonePetitionUpdate,28262907,2020-12-23 16:55:48+00:00,50.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28253188,2020-12-21 08:30:09+00:00,25.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28252485,2020-12-21 02:30:58+00:00,10.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28252256,2020-12-21 00:40:31+00:00,5.0,warner-brothers-replace-amber-heard-in-justice-league-with-danny-devito-in-a-wig,,,,,,,against
MilestonePetitionUpdate,28188339,2020-12-08 20:34:41+00:00,200.0,warner-brothers-we-re-not-getting-paid-for-this-fire-amber-heard,,,,,,,against
MilestonePetitionUpdate,28147340,2020-12-01 01:33:38+00:00,30000.0,warner-brothers-amber-heard-does-not-deserve-to-play-mera-in-the-next-aquaman-film,,,,,,,against
MilestonePetitionUpdate,28261639,2020-12-23 09:35:52+00:00,2500.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28175376,2020-12-06 06:26:03+00:00,2000.0,the-judicial-conduct-investigations-office-a-official-review-the-judicial-misconduct-of-judge-nicol-in-the-johnny-depp-libel-case,,,,,,,against
MilestonePetitionUpdate,28241483,2020-12-18 08:04:33+00:00,2500.0,walt-disney-bring-johnny-depp-back-to-pirates-of-the-caribbean,,,,,,,against
MilestonePetitionUpdate,28177478,2020-12-06 18:43:54+00:00,2000.0,walt-disney-bring-johnny-depp-back-to-pirates-of-the-caribbean,,,,,,,against
MilestonePetitionUpdate,28272447,2020-12-27 06:12:08+00:00,250.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
MilestonePetitionUpdate,28257363,2020-12-22 09:26:13+00:00,200.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
MilestonePetitionUpdate,28235463,2020-12-17 05:21:35+00:00,100.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
MilestonePetitionUpdate,28234438,2020-12-17 00:50:00+00:00,50.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
MilestonePetitionUpdate,28233982,2020-12-16 23:07:38+00:00,25.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
MilestonePetitionUpdate,28233145,2020-12-16 20:30:14+00:00,10.0,the-walt-disney-company-petition-to-not-watch-disney-productions-until-they-let-johnny-depp-back-in,,,,,,,against
