message,timestamp,id,n_replies,n_likes,media_id,in_reply_to,from.id,from.username,from.is_verified,from.url,from.profile_pic,urls,n_urls
@lmntrix24_7 https://m.ru.armeniasputnik.am/world/20200203/21925595/Byvshaya-zhena-izbivala-Dzhonni-Deppa-v-set-slili-priznanie-Ember-Kherd.html?mobile_return=no,2020-12-25 05:41:10,1.7969506039356704e+16,,2.0,2.4698921065852544e+18,1.7863247810314268e+16,1279516832.0,eva_soturi,,https://www.instagram.com/eva_soturi,,['https://m.ru.armeniasputnik.am/world/20200203/21925595/Byvshaya-zhena-izbivala-Dzhonni-Deppa-v-set-slili-priznanie-Ember-Kherd.html?mobile_return=no'],1
He's been doing podcasts on youtube with information:-https://www.youtube.com/channel/UCno21pV-CObvy2TBjrmPquw,2020-12-15 23:17:57,1.8126001894154296e+16,0.0,1.0,2.4531442142328714e+18,,2238738780.0,jfhollandauthor,False,https://www.instagram.com/jfhollandauthor,,['https://www.youtube.com/channel/UCno21pV-CObvy2TBjrmPquw'],1
"Петиция удалять Амбер Херд из Аquaman 

http://chng.it/F4WMKk42TV",2020-12-11 04:12:06,1.814436725811645e+16,0.0,0.0,2.4609101039988065e+18,,1095512973.0,gerlee8585,False,https://www.instagram.com/gerlee8585,,['http://chng.it/F4WMKk42TV'],1
http://chng.it/F4WMKk42TV,2020-12-11 04:12:17,1.8178432333017604e+16,0.0,0.0,2.4609101039988065e+18,,1095512973.0,gerlee8585,False,https://www.instagram.com/gerlee8585,,['http://chng.it/F4WMKk42TV'],1
http://chng.it/Zb2d5RBR2S  میتونین توی این لینک برید رای بدین,2020-12-01 06:36:54,1.78595757983172e+16,0.0,0.0,2.4537549992654705e+18,,8405193285.0,sam.mnch,False,https://www.instagram.com/sam.mnch,,['http://chng.it/Zb2d5RBR2S'],1
http://chng.it/JwzXwMjZ,2020-12-01 11:25:02,1.8089243128210544e+16,0.0,0.0,2.4537549992654705e+18,,2085484447.0,kurosh_1939,False,https://www.instagram.com/kurosh_1939,,['http://chng.it/JwzXwMjZ'],1
@master.monsters http://chng.it/mqsfc9jPzb,2020-12-10 07:53:24,1.7852892401354172e+16,,0.0,2.4537549992654705e+18,1.7872578416094158e+16,3027695646.0,fargol_ss4,,https://www.instagram.com/fargol_ss4,,['http://chng.it/mqsfc9jPzb'],1
@tasya_vinogradova https://www.instagram.com/p/CI24UvXAHEy/?igshid=rjwj7f2yatvw,2020-12-28 02:09:56,1.7890577296807476e+16,,1.0,2.465415624105497e+18,1.807977905224468e+16,7318447165.0,amber_jewelryy,,https://www.instagram.com/amber_jewelryy,,['https://www.instagram.com/p/CI24UvXAHEy/?igshid=rjwj7f2yatvw'],1
https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2,2020-12-03 09:48:49,1.8061571023248724e+16,4.0,1.0,2.4531867006611215e+18,,1207186200.0,alrikamoller,False,https://www.instagram.com/alrikamoller,,['https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2'],1
https://payhip.com/b/4lEg,2020-12-05 12:14:49,1.7926118164461576e+16,0.0,0.0,2.4570167017613686e+18,,18675187428.0,ravikumarchoudhary7,False,https://www.instagram.com/ravikumarchoudhary7,,['https://payhip.com/b/4lEg'],1
#justiceforjohnnydepp https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2,2020-12-10 10:50:22,1.788797425979126e+16,0.0,1.0,2.4607166946683694e+18,,3703701611.0,becauseitsjohnnydepp,False,https://www.instagram.com/becauseitsjohnnydepp,,['https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2'],1
@emo_sujeet_9071 https://youtu.be/7daZu4ZOeZQ,2020-12-19 09:07:20,1.7873402150060644e+16,,1.0,2.46598852280793e+18,1.8097239790204584e+16,1480368057.0,cool.awesome.shobhit,,https://www.instagram.com/cool.awesome.shobhit,,['https://youtu.be/7daZu4ZOeZQ'],1
@waah_sahibganj https://youtu.be/7daZu4ZOeZQ,2020-12-19 09:07:24,1.817936446003822e+16,,0.0,2.46598852280793e+18,1.7843446358503528e+16,1480368057.0,cool.awesome.shobhit,,https://www.instagram.com/cool.awesome.shobhit,,['https://youtu.be/7daZu4ZOeZQ'],1
@sam23april https://youtu.be/7daZu4ZOeZQ,2020-12-19 09:07:31,1.8179541742031852e+16,,0.0,2.46598852280793e+18,1.7874051455079408e+16,1480368057.0,cool.awesome.shobhit,,https://www.instagram.com/cool.awesome.shobhit,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/1741391_1573533549597529_499331146_a.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_ohc=8bOdcnk-mh4AX-yVt3k&edm=AF1ddXUBAAAA&ccb=7-4&oh=74f445904c17d12f89438a02b15fe951&oe=61345020&_nc_sid=3f1853,['https://youtu.be/7daZu4ZOeZQ'],1
@sam23april https://youtu.be/7daZu4ZOeZQ,2020-12-19 09:07:31,1.8179541742031852e+16,,0.0,2.46598852280793e+18,1.7874051455079408e+16,1480368057.0,cool.awesome.shobhit,,https://www.instagram.com/cool.awesome.shobhit,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-19/1741391_1573533549597529_499331146_a.jpg?_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_ohc=8bOdcnk-mh4AX-yVt3k&edm=AF1ddXUBAAAA&ccb=7-4&oh=74f445904c17d12f89438a02b15fe951&oe=61345020&_nc_sid=3f1853,['https://youtu.be/7daZu4ZOeZQ'],1
