link,count,n_users,users,n_urls
https://youtu.be/uretrfMA-Io,17,8,"(8576468286.0, 8993278596.0, 6355289605.0, 2922299853.0, 5994432110.0, 3171344816.0, 7301014359.0, 277421566.0)",{1}
http://chng.it/9fvfm2mSb4,17,1,"(2066707406.0,)",{1}
www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,10,2,"(3034584675.0, 40838726015.0)",{1}
https://rojakdaily.com/entertainment/article/11686/amber-heard-fired-from-aquaman-2-following-divorce-controversy-here-s-the-full-story,6,1,"(2226100100.0,)",{1}
https://www.thesun.co.uk/news/uknews/12087519/johnny-depp-knife-amber-heard-cut-audio-court/,6,1,"(7362926991.0,)",{1}
https://www.google.com/amp/s/amp.theguardian.com/film/2020/jul/14/amber-heard-shouted-insults-at-johnny-depp-high-court-told,3,1,"(2022943271.0,)",{1}
https://www.google.com.br/amp/s/amp.news.com.au/entertainment/celebrity-life/unearthed-texts-to-johnny-depps-doctor-reveal-the-actor-cut-his-own-finger-and-blamed-it-on-exwife-amber-heard/news-story/f9b0aab0c8ad5bc052e8f8791da7d6e7,3,1,"(2887462385.0,)",{1}
https://instagram.com/luckashyowa?igshid=rajepaeupqtk,3,1,"(12061200699.0,)",{1}
https://www.ign.com/articles/armor-wars-announced-for-disney-plus-starring-don-cheadle-as-war-machine?amp=1,3,1,"(6232439299.0,)",{1}
https://youtu.be/EhnKxb99Li8,3,1,"(38703366580.0,)",{1}
https://www.change.org/p/walt-disney-we-want-johnny-depp-back-as-captain-jack-sparrow,3,3,"(12578338476.0, 492318828.0, 437045293.0)",{1}
https://insidethemagic.net/2020/04/amber-heard-jail-time-johnny-depp-defamation-suit-tm1/,3,1,"(2022943271.0,)",{1}
https://www.thenews.com.pk/amp/641480-amber-heard-could-be-jailed-for-three-years-domestc-abuse-case-against-johnny-depp,3,1,"(2022943271.0,)",{1}
https://youtu.be/MykJiy-F82Y,3,1,"(9462841814.0,)",{1}
https://www.youtube.com/watch?v=HOlPsUbAHJo,3,1,"(1452388415.0,)",{1}
https://youtu.be/rPdD9icN5bc,2,1,"(27028261108.0,)",{1}
https://www.youtube.com/watch?v=2rd8VktT8xY,2,1,"(32108845994.0,)",{1}
https://yoomoney.ru/to/410011965882965,2,1,{7028112380.0},{2}
paypal.me/rjumin,2,1,{7028112380.0},{2}
http://chng.it/r7wxtqT8N9,2,1,"(7571699105.0,)",{1}
https://www.google.ca/amp/s/www.dailymail.co.uk/news/article-7947733/amp/Amber-Heard-admits-hitting-ex-husband-Johnny-Depp-pelting-pots-pans-tape.html,2,1,"(3862051467.0,)",{1}
https://www.theguardian.com/film/2020/jul/14/johnny-depp-told-bodyguard-that-amber-heard-cut-my-finger-off,2,1,"(3278069573.0,)",{1}
https://www.google.com.br/amp/s/www.dailyrecord.co.uk/news/scottish-news/johnny-depps-lawyers-released-images-22316633.amp,2,1,"(2887462385.0,)",{1}
https://retail.totallifechanges.com/asmy/products,2,1,"(7002795554.0,)",{1}
https://www.google.com.br/amp/s/www.irishtimes.com/news/world/uk/depp-may-have-severed-own-finger-according-to-email-to-doctor-court-told-1.4300313%3fmode=amp,2,1,"(2887462385.0,)",{1}
https://meaww.com/sender-of-johnny-depp-texts-admit-cut-left-middle-finger-photo-shows-right-hand-who-sent-amber-heard,2,1,"(3278069573.0,)",{1}
Www.kelas-almani-zarrabi.blogfa.com,2,1,"(1511834505.0,)",{1}
https://youtu.be/C9A0UngpSbU,2,1,"(15794220150.0,)",{1}
https://www.instagram.com/ben.ron.526?r=nametag,2,1,"(10923561490.0,)",{1}
https://www.google.com/amp/s/www.dailymail.co.uk/news/article-7947733/amp/Amber-Heard-admits-hitting-ex-husband-Johnny-Depp-pelting-pots-pans-tape.html,2,1,"(7321139930.0,)",{1}
https://instagram.com/olga.boo?igshid=x3xxf8xry17w,2,1,"(7943829286.0,)",{1}
http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/6.htm,2,1,"(27028261108.0,)",{1}
https://www.youtube.com/watch?v=2I4_qviUD60,2,1,"(32108845994.0,)",{1}
https://shopee.tw/product/402034446/9641633180?smtt=0.402054023-1618595821.9,2,1,"(750666846.0,)",{1}
https://m.facebook.com/story.php?story_fbid=2548819375375130&id=100007412760401,1,1,"(3594474441.0,)",{1}
https://www.amazon.com/gp/mpc/AD1NF2ACEXYV7,1,1,"(40575740105.0,)",{1}
https://youtube.com/channel/UC1llVXxB6iee_LpTc-dbXUg,1,1,"(1822149414.0,)",{1}
coinbase.com/join/ahmad_fp8?src=android-link,1,1,"(1935699793.0,)",{1}
https://4starriot.com,1,1,"(1592165431.0,)",{1}
http://lovefond.ru/stihi/o-lyubvi/lyubimoy-devushke/8.htm,1,1,"(27028261108.0,)",{1}
https://bit.ly/3ptGi0c,1,1,"(44477278867.0,)",{1}
https://retail.totallifechanges.com/asmy/enrollment/enrollmentconfiguration,1,1,"(7002795554.0,)",{1}
https://youtube.com/channel/UCXOdp7Gd8KjKnXIi01nF7fA,1,1,"(28240224224.0,)",{1}
https://youtu.be/pUdwGOoP13g,1,1,"(15794220150.0,)",{1}
https://youtu.be/flKjHaa8sxw,1,1,"(3594474441.0,)",{1}
https://youtu.be/f3iDoZ7BxQU,1,1,"(15794220150.0,)",{1}
