userName,taggedUserName,text,replyingUsers,quotedtext,img1,img2
,,,,,,
Mera’s Knight,@RaiderXman,#AmberHeard #AmberHeardForever #AmberHeardIsMera Thanks bro,Replying to  @RegAndy76  @RaidersMera  and 5 others,,,https://pbs.twimg.com/media/ESHnDbdUEAAnsI7?format=jpg&name=900x900
,,,,,,
Mera’s Knight,@RaiderXman,#WCW #WomanCrushWednesday @realamberheard  the once and future Queen #AmberHeardForever #AmberHeardIsMera #JusticeForAmberHeard,,,https://pbs.twimg.com/media/ESR9RWeUYAEQHvj?format=jpg&name=900x900,
,,,,,,
Enemy Of Atlantis,@JerrellZod2,James Wan's Aquaman is hands down one of the best comic books films to date. #AmberHeard   isn't going anywhere like it or not.,Replying to  @JerrellZod2,,https://abs-0.twimg.com/emoji/v2/svg/1f531.svg,https://pbs.twimg.com/media/EmebBBfXMAA20XK?format=jpg&name=small
,,,,,,
Enemy Of Atlantis,@JerrellZod2,Black Manta's wrath will be felt in #Aquaman2.  #AmberHeardIsMera* ,,,https://pbs.twimg.com/media/EmebXNXXMAEyqUg?format=jpg&name=small,
,,,,,,
Hassnain Ali,@knivez1993,I am going to most likely get in trouble for this  Where is all that thing about women need to stick together  Abusive men need to be revealed  Women need to be empowered to speak up and not suffer in silence  #AmberHeardisMera #Aquaman2 #JusticeForAmberHeard,,,https://pbs.twimg.com/media/EmqwaLyXEAE7lVm?format=jpg&name=medium,
,,,,,,
Mera’s Knight,@RaiderXman,Umm... NO!!!  HELLS NO!!! #AmberHeard IS A PERFECT MERA #AmberHeardIsMera  WHY MESS WITH PERFECTION?,Replying to  @DCEUMX,,,
,,,,,,
Ares,@XGodOfWarAresX,I agree!!! #AmberHeardIsMera,,,,
,,,,,,
Hassnain Ali,@knivez1993,QUEEN MERA IS NOT GOING ANYWHERE   #AMBERHEARDISMERA,,"Quote Tweet DiscussingFilm @DiscussingFilm  · Nov 13, 2020 Amber Heard confirms she will be returning for ‘AQUAMAN 2’.  (Source: https://ew.com/movies/amber-heard-aquaman-2-return/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-share-article…)",https://pbs.twimg.com/profile_images/1191180251159810049/w5JjDw1j_mini.jpg,
,,,,,,
Scott Summers,@TheFirstXman1,"I couldn’t have said it better myself nah, actually I could have if I wanted to.   #AmberHeardIsMera",Replying to  @RaiderXman  and  @DCEUMX,,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg,
,,,,,,
Aquaman Movie,@aquamanmovie,Time to dive into Atlantis  #AquamanUnderwaterWorld starts NOW! #DCTuesdays  Stream on YouTube: https://youtu.be/cM9faE8Yv5w,,,https://pbs.twimg.com/media/EY-4L6kXsAAw5Ry?format=jpg&name=small,
,,,,,,
Queen Mera,@MeraQueenDC,"Queen of the seven seas, Queen of Atlantis, Mera princess of Xebel   #mera #queenmera #queenofatlantis #atlantean #atlantis #xebel #aquaman #amberheard #amberheardismera",,,https://pbs.twimg.com/media/EfxvMuzX0AAWZK3?format=jpg&name=900x900,
,,,,,,
Ares' weapon,@RaidersMera,MY TWO BABIES   #AmberHeard #Mera  #MEW #MaryElizabethWinstead #Huntress,,,https://pbs.twimg.com/media/EQiUSusX0AA57pc?format=jpg&name=360x360,
,,,,,,
Dick “Flyboy” Grayson,@Nightwing_RJG,//hell yeah baby!!! #AmberHeardForever #AmberHeardIsMera  ##MaryElizabethWinsteadIsHuntress,,,,
,,,,,,
Shadrach,@mimishad,Yes! #JusticeLeague #AmberHeard #mera #AmberHeardismera #Aquaman #Aquaman2  The lunatics are probably frothing at the mouth about this and I love to see it.   #istandwithamberheard,,"Quote Tweet Looper @looper  · Oct 21, 2020 Amber Heard will reportedly be filming new scenes for Zack Snyder's Justice League. #SnyderCut",https://pbs.twimg.com/profile_images/804003105150881792/XkLDLmKp_mini.jpg,
,,,,,,
People,@people,Amber Heard Shuts Down Rumors She's Being Replaced on Aquaman 2: 'I'm Excited to Get Started',,"Amber Heard Shuts Down Rumors She's Being Replaced on Aquaman 2: 'I'm Excited to Get Started' Though the movie has yet to be announced, Amber Heard confirmed she will return as Mera for the future production people.com",https://pbs.twimg.com/card_img/1347737833549619201/_-AFoik3?format=jpg&name=small,
,,,,,,
WonderAquaMother,@AnneVL82,She is the victim. There's no reason for her to be fired! #JusticeForAmberHeard #AmberHeardIsMera #JohnnyDeppIsAWifeBeater,,,https://pbs.twimg.com/profile_images/1288080362380439553/9aQ8IyZo_mini.jpg,
,,,,,,
Zeus/Jupiter,@TheKingOfGods1,This mortal speaks the truth!!! #AmberHeardIsMera,Replying to  @RaiderXman  and  @DCEUMX,,,
,,,,,,
Ares' weapon,@RaidersMera,It maybe #WonderWomanDay BUT... #AmberHeardIsMera,,,https://pbs.twimg.com/media/Ek4yxVgWAAQpJBO?format=jpg&name=small,
,,,,,,
Ares' weapon,@RaidersMera,That is babe right there  #MeraEveryday   #AmberHeardIsMera #MeraIsQueen,Replying to  @RegAndy76  @RaiderXman  and 5 others,,,https://pbs.twimg.com/media/ETg863KWAAEXlnt?format=jpg&name=360x360
,,,,,,
Dick “Flyboy” Grayson,@Nightwing_RJG,Took the words right out of my mouth!!! #AmberHeardIsMera,Replying to  @RaiderXman  and  @DCEUMX,,,
,,,,,,
,,,,,,
Queen Mera,@MeraQueenDC,"Yes she does,  @realamberheard  is Queen Mera of Atlantis, she has nothing to prove to annonce no matter what people say. she's a beautiful and strong woman and so as Mera   #queenmera #queenofatlantis #mera #AmberHeard #AmberHeardismera #amberheardfans #loveforamberheard",,,,
,,,,,,
Mera’s Knight,@RaiderXman,The Once and Future Queen #AmberHeardForever #AmberHeardIsMera #LoveAmberHeard #JusticeForAmberHeard The ONE TRUE Mera,,,https://pbs.twimg.com/media/ETm2mvnUEAA8oiR?format=jpg&name=360x360,
,,,,,,
Ares' weapon,@RaidersMera,The One True Queen #Mera #Aquaman  #AmberHeardIsMera https://instagram.com/p/CHglQ74hjgX/?igshid=zpo4kllbvose…,,,,
,,,,,,
Ares' weapon,@RaidersMera,"Someone needs to check on DisGrace, Bosslogic and all of the Deppies   ""They tried to get rid of her but Oceans to Oceans""   #AmberHeardIsMera",,,,
,,,,,,
데이,@ArcherS2Lancer,"#AmberHeardIsMera  #ForeverTeamAmberHeard 해파리 드레스, 장미, 헬기 등등.. 생각나는 부분이 많지만 가장 좋은건 역시 ",,,https://pbs.twimg.com/media/EWZu_x4UwAA1aXv?format=jpg&name=360x360,
,,,,,,
Enemy Of Atlantis,@JerrellZod2,#AquamanUnderwaterWorld #AmberHeardIsMera ,Replying to  @justiceleaguewb,GIF,https://abs-0.twimg.com/emoji/v2/svg/1f531.svg,https://pbs.twimg.com/tweet_video_thumb/EY-4KCjWoAAalC8.jpg
,,,,,,
Eᴍᴍᴀ Pᴇᴛʀᴇsᴄᴜ,@xLadyPetrescu_,¿Y no es maravilloso?,Replying to  @_AquamanDC,,,
,,,,,,
₳ʀȶɦʊʀ ₵ʊʀʀʏ,@_AquamanDC,Alegras mis dias con tu hermosura querida. #AmberHeardIsMera,,,,
,,,,,,
WonderAquaMother,@AnneVL82,Yes! #AmberHeardIsMera,,"Quote Tweet Mukul ʬ⁸⁴ @RealMukul  · Nov 9, 2020 Amber as Mera is perfection  GIF",https://pbs.twimg.com/profile_images/1206951699824418829/S5dX0yv__mini.jpg,
,,,,,,
VINCENT,@leotimesline,#AmberheardIsMera,,"Quote Tweet WonderAquaMother @AnneVL82  · Aug 16, 2020 Emilia Clarke. Scarlett Johansson. Blake Lively. Mila Kunis. Megan Fox. In your imagination everyone can be Mera (even you). You can spreading rumors about every actress playing Mera and can use Photoshop to dress them as Mera but in fact #AmberHeardisMera The one and only. ",https://pbs.twimg.com/profile_images/1325970629020049410/mKHb-6ah_mini.jpg,
,,,,,,
Mera’s Knight,@RaiderXman,#AmberHeardIsMera  #AmberHeardFrom,Replying to  @RaidersMera  @BrooklynBatman_  and 7 others,,https://abs-0.twimg.com/emoji/v2/svg/1f495.svg,
,,,,,,
,,,,,,
Mera’s Knight,@RaiderXman,#AmberHeardForever #JusticeForAmberHeard #QueenAmberHeard #AmberHeardIsMera  #LoveAmberHeard,Replying to  @RaidersMera  @stirgussa  and 8 others,,,
,,,,,,
Mayla,@aitanaheard,#amberheard #amberheardismera,,The following media includes potentially sensitive content. Change settings View,,
