userName,taggedUserName,text,replyingUsers,quotedtext,img1,img2
,,,,,,
sasa,@amberheardn,You have been through so much and yet you have never given up hope. It's too beautiful to see your happy smile after justice is finally done. I'm so proud of you and your force  @realamberheard   #JusticeForAmberHeard #WeAreWithYouAmberHeard #AmberHeardIsInnocent #IBelieveInHer,,,https://pbs.twimg.com/media/El0mqQMXUAUwcCx?format=jpg&name=360x360,
,,,,,,
Niklander:2021 is here so relax,@niklander2,Amber Heard stays as Mera that petition ain't gonna change it  #AmberHeardIsInnocent #AmberHeardIsMera,,"GIF Quote Tweet New York Post @nypost  · Nov 27, 2020 Petition to kick Amber Heard off 'Aquaman 2' gathers 1.5M signatures https://trib.al/q0BvyrJ",https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_mini.jpg,
,,,,,,
,,,,,,
TinaFarrar,@farrartina1212,LMAO  O the PAID smear campaign>>>  Bye ..now,Replying to  @v_e_n_u_s_1,,,https://pbs.twimg.com/media/Eo4zBqvWEAIqCRY?format=jpg&name=900x900
,,,,,,
Blackbird,@v_e_n_u_s_1,"There is only smear campaign, started by Depp against Amber See you again when the appeal is gonna be refuse again #JusticeforAmber #AmberHeard  #AmberHeardIsInnocent",,,https://pbs.twimg.com/tweet_video_thumb/Eo41uDpWEAkudLE.jpg,
,,,,,,
Motivator Network 2,@MotivatorNet2,"#AmberHeard is a victim of #domesticabuse who works on #humanitarianism, #WomensRights, #progress, #LGBT #equality, and #activism.   November 2, 2020, Judge Nicol ruled she feared for her life frequently & 12 out of 14 incidents of was proven. #Aquaman",Replying to  @_d_a_n_i_e_l__b  @XTinaTaft  and 14 others,"Amber Heard is Innocent — Keep her in Aquaman 2 as Mera, L’Oreal, and a Humanitarian Amber Heard is a victim of domestic abuse who works on humanitarianism, Women’s Rights, progress, LGBT equality, and activism. On November… helpothers.medium.com",https://abs-0.twimg.com/emoji/v2/svg/1f9e1.svg,https://pbs.twimg.com/card_img/1346776320412426240/sWg9FDKe?format=jpg&name=small
,,,,,,
Motivator Network 2,@MotivatorNet2,Does it work to post a petition of this new #AmberHeardIsInnocent information  under a different IP??  Your book challenge is fantastic. #MakeHistory #BotSpecialists  ,,,,
,,,,,,
Hassnain Ali,@knivez1993,No I am not   The only time Amber hit Johnny was when he tried to attack her sister and she was defending her   #AmberHeardisInnocent,Replying to  @BeeJae78,,,
,,,,,,
Scott Kindness,@unsilencable,Stop with the victim shaming ,Replying to  @becboynton,,https://abs-0.twimg.com/emoji/v2/svg/1f921.svg,
,,,,,,
My Name,@WearingMeOut,It ain't victim shaming. #JohnnyDeppisawifebeater #BoycottJohnnyDepp #JohnnyDeppIsGuilty #AmberHeardIsInnocent #WeAreWithYouAmberHeard #AmberHeardIsMyMera #AmberIsMyMera,,,,
,,,,,,
Дмитрий Белозерцев,@VolkhVseslavich,"#AmberHeardisinnocent I think this shit about Amber and Johnny was total bullshit. I don't want Aquaman without Amber, as I don't want ""Pirates"" without Johnny. You, suckers, made a lot of money on this info. And killed two projects...",,,,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Awesome Darling #amberheardisinnocent  @realamberheard,,,https://pbs.twimg.com/media/EDCU0WbXUAIXK5o?format=jpg&name=small,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Great Things #amberheard  @realamberheard  #amberisperfect #amberheardisinnocent,,,https://pbs.twimg.com/media/EcD-ZO1UYAAmF6-?format=jpg&name=small,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Stunning  @realamberheard  #amberheardisinnocent,,,https://pbs.twimg.com/media/ED3KKcAVAAEGmg_?format=jpg&name=small,
,,,,,,
silit,@napitupulu_a,"Was not talking about him. Heard gonna be out of aquaman, do stay tune ",Replying to  @WearingMeOut  @realamberheard  and  @KamalaHarris,,https://abs-0.twimg.com/emoji/v2/svg/1f64f.svg,
,,,,,,
My Name,@WearingMeOut,That would be a SERIOUS miscarriage of justice! #IStandWithAmber #AmberHeardIsInnocent,,,,
,,,,,,
Christina Taft,@XTinaTaft,"#AmberHeardIsInnocent #AmberHeard needs a LIFE!!!   “9 lies independently and 20 physical altercations which fan groups never say”  Yet, they don’t understand yet, but I think some are mobilized on IG now. Sorry her defense is so slow and throttled...   #womenintech #anticrime",Replying to  @Cle02470133  @Amechan90  and 7 others,,,
,,,,,,
Worldie ~ Social Media for Good,@Worldie_com,"4,000 x $3 = $12,000 4,000 x $25 = $100,000  So your petty, NEGATIVE and TABLOID petition, is that sponsored, to simply bring negativity to the world... has tens of thousands to 100K spent on it. Us? 42 sponsor  #AmberHeardIsInnocent #AmberHeard will continue w #HumanitarianWork",Replying to  @PaupoAkoXD  @realamberheard  and 3 others,,,
,,,,,,
,,,,,,
Christina Taft,@XTinaTaft,What now? #ElonMusk SUPPORTS #AmberHeard and so SHOULD #futurists....   He would have heard all about it and seen her fear directly afterwards!   #AmberHeardIsInnocent -   #HardNews #WashintonPost #NewYorkTimes #AssociatedPress VERSUS Tabloids... fueling socials... #hategroups..,,,,
,,,,,,
Luis Landa,@1570_landa,#AmberHeardisInnocent don't want to hear it block or mute me I don't really care.,,,,
,,,,,,
Ares' weapon,@RaidersMera,"""In court today""  #AmberWeAreWithYou  #AmberHeardIsInnocent  #JohnnyDeppLied  #JohnnyDeppIsARapist  #JohnnyDeppIsAnAbuser",,,https://pbs.twimg.com/media/ETapkAmX0AE_qCb?format=png&name=small,
,,,,,,
medusa,@heardlcorp,I believe in women.  #JusticeForAmberHeard #AmberHeardIsInnocent,,,https://pbs.twimg.com/media/El0cDgRXgAE1iQW?format=jpg&name=360x360,
,,,,,,
#just ice for johnny depp & double whisky for me,@fireglow325,"Breaking news, Johnny Depp's famous bodyguard offered money to journos in exchange for the identity of the rat   #amberheard",,,https://pbs.twimg.com/media/D30bLxhWAAEvOOA?format=jpg&name=360x360,
,,,,,,
Christina Taft,@XTinaTaft,Good screenshot of the right account! #AmberHeardIsInnocent! #AmberHeard,,,,
,,,,,,
Niklander:2021 is here so relax,@niklander2,Johnny Depp can fuck off.  #AmberHeardIsInnocent,,"Quote Tweet Cal @wyattyhalpert  · Dec 1, 2020 It’s amazing how many of the “both are bad!” crowd in this situation are all very vocally about defending and exonerating a ‘great man’ who lost in court and tearing down the demon witch lady who dared to accuse him, because that clearly reflects both people being at fault twitter.com/nypost/status/… Show this thread",https://pbs.twimg.com/profile_images/1335031931008782337/vnpxksqN_mini.jpg,
,,,,,,
Luis Landa,@1570_landa,"Once again time #AmberHeardIsInnocent, #JohnnyDeppIsAAbuser and #SkipBaylessIsATroll!",,,,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Lovely #amberheardisinnocent  @realamberheard  #amberheard,,,https://pbs.twimg.com/media/ED7lcxtU0AAc_1Q?format=jpg&name=small,
,,,,,,
Christina Taft,@XTinaTaft,There are multiple witnesses and photos of her physical injuries.  JD never even claimed she could deck him... yet he wants the full rich privilege to beat his wife and make her regret it via controlling the systems @GeekTheDog    #AmberHeardIsInnocent   #AmberHeard #Survivial,Replying to  @letoalways01  and  @MelissaSchuman,,,https://pbs.twimg.com/media/EeHa27zU4AEyRKn?format=png&name=small
,,,,,,
AnneRoe,@AnneRoe13,There they go again. Throwing “evidence” at me.   #amberheardisinnocent,,,,
,,,,,,
KABIRU MURAYA,@KabiruMuraya_KE,Johnny Depp should fvck himself #JohnnyDepp  #amberheardisinnocent,,,,
,,,,,,
,,,,,,
Motivator Network 2,@MotivatorNet2,"Oh yeah, you should definitely check me out, along with you as the King #Bot to lead the Swarm #BOTS   #AmberHeardIsInnocent",,,,
,,,,,,
Worldie ~ Social Media for Good,@Worldie_com,"I had no idea he went to south america... or had 20 houses (I knew multiple, but not 20)  #AmberHeard #AmberHeardIsInnocent    #AdamWaldman defends #OrganizedCrime like that oligarch who showed up on restricted lists.  If #Lawyer state bars allowed reported FOR OTHERS.. 2nd party",Replying to  @Cle02470133  @RapeMatters  and 14 others,,,
,,,,,,
Ares' weapon,@RaidersMera,#DeppStans at it again  Learn to READ morons   #WeAreWithYouAmberHeard  #AmberHeardIsInnocent  #WeStandWithAmberHeard,,,https://pbs.twimg.com/media/EEXriAeXUAAQZjG?format=jpg&name=small,
,,,,,,
Ares' weapon,@RaidersMera,Oh please! Why not go try to make a believer out of someone who is desperate   #AmberHeardIsInnocent  #GETOVERIT,,,,
,,,,,,
FarisMD,@farismdbouya201,"I know that I will be attacked by everybody but I don’t care, when I’m standing for the right thing,I don’t mind,I don’t know Amber Heard at all,I’m not paid by her,I am here to stand for the oppressed people no matter how rich,poor,everyone,don’t be blind. #AmberHeardIsInnocent",,,,
,,,,,,
claudia Deep,@claudiadavila28,Guys we need to access the support of media. We need to tell the truth to  whole world  . Everyone has the right to know.  #JohnnyDeppisINNOCENT #AmberHeardIsAnAbuser #AmberHeardisaDANGERtoOthers   Those who says Amber heard is innocent #AmberHeardisInnocent See this,,,https://pbs.twimg.com/media/EKt8fQuWkAAfQZb?format=jpg&name=small,
,,,,,,
N,@N_Out393,I believe her #AmberHeardisInnocent #JusticeForAmberHeard,,,,
,,,,,,
FarisMD,@farismdbouya201,"#AmberHeardIsInnocent , I fully believe that she is innocent of all this lies and deception, and a man should not ever treat a women like this, people this is not acceptable at all, ask your self what if: Your mother is in this position, or sister, daughter. Think about this. 1/2",,"Quote Tweet FarisMD @farismdbouya201  · Jan 9 Replying to @deppressead You people are just crazy, he is not a f-saint, justice for real, she is the abuser hah, you people are obsessed over Jonny Deep, this doesn’t make her an abuser, this just bull shit, you all make everyday wondering how I will hurt someone today, please be creative,move on, live",https://pbs.twimg.com/profile_images/1347997196277395457/koP50nyJ_mini.jpg,
,,,,,,
FarisMD,@farismdbouya201,"Do you want a powerful man treating them like this,I will not, you should stand with the powerless not the powerful,I can’t believe that anyone believes him at all,we cannot be driven into hatred ,we should stand up not bow,so wake up from this lie. #AmberHeardIsInnocent  2/3",,,,
,,,,,,
Abraham Lincoln,@well__thatsucks,Amber Heard and the broken nose: a thread as to why everything AH says should not be trusted (Troll tags) #AmberHeard #AmberHeardIsInnocent #JohnnyDeppisawifebeater #JUSTICEFORAMBERHEARD #WeAreWithYouAmberHeard,,,https://pbs.twimg.com/media/ErRtWdKXAAEvkhv?format=jpg&name=small,
,,,,,,
Amber Heard Brasil,@AmberHeardBRA, | Dan Wootton via Instagram (danwootton). #JusticeForAmberHeard #AmberHeardIsInnocent #IBelieveInHer,,,https://pbs.twimg.com/media/El1VvZMW0AMSH-7?format=jpg&name=360x360,
,,,,,,
Amber Heard Brasil,@AmberHeardBRA,"Whitney, Io, Brandon, Cortney, Rafaelo, Corey, Sasa, Michael e Elon chegando assim hoje na casa da Amber.   #JusticeForAmberHeard #WeAreWithYouAmberHeard #AmberHeardIsInnocent #IStandWithHer",,,https://pbs.twimg.com/tweet_video_thumb/El00YF5W0AAz3we.jpg,
,,,,,,
CosaCuqui 𐋀 Coven,@elelenaa,#AmberHeardIsInnocent,,,,
,,,,,,
,,,,,,
Amber Heard Brasil,@AmberHeardBRA," | Adam Cannon via Instagram (adamrichardsoncannon): ""Muito encantado com Amber e Dan após a vitória do The Sun no caso DeppHeard. Esta é uma vitória muito importante para para as vítimas de abuso doméstico."". #JusticeForAmberHeard #AmberHeardIsInnocent #IBelieveInHer",,,https://pbs.twimg.com/media/El1g7q6WoAE_r8n?format=jpg&name=small,
,,,,,,
Kara,@karaxlynn24,#JohnnyDeppIsAnAbuser #johnnydeppisawifebeater #amberhearddeservesbetter #amberheardisinnocent,,"Quote Tweet againstdomesticviolence @LNinFrance  · Dec 21, 2020 Replying to @karaxlynn24 #AmberHeardisAGoldDigger #JohnnyDeppIsInnocent #AmberHeardIsALiar",https://pbs.twimg.com/profile_images/1131560814614331392/eJx4-G4__mini.png,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Amber #amberheard #amberheardisinnocent #GreenIndiaChallenge  @amberheardsourc  @AmberHeardIT  @AHITgalleria,,,https://pbs.twimg.com/media/EfX3wcUUMAA9Ma0?format=jpg&name=small,
,,,,,,
Thala Vivian,@RaizafamilyVivi,Hai #amber #AmberHeardIsinnocent #KrishnaJanmashtami2020 #KrishnaJanmashtami2020  @amberheardsourc  @artsaheard  @AmberHeardIT,,,https://pbs.twimg.com/media/EfIFE0fVoAAw_ft?format=jpg&name=900x900,
,,,,,,
Christina Taft,@XTinaTaft,#AmberHeard #AmberHeardIsInnocent,,Amber Heard Motion to Dismiss Source document contributed to DocumentCloud by Gene Maddaus (Variety). documentcloud.org,https://pbs.twimg.com/card_img/1346581015897190404/4Mtsqsb4?format=jpg&name=small,
,,,,,,
M.G. Justice For Johnny Depp,,#AmberHeard  #AmberHeardIsAnAbuser  #justiceforamberheard ( ) #amberheardisinnocent ( ),,"Quote Tweet Grindelwald @mderndarkwizard  · May 21, 2019 Anyone who is still on Amber Heard's side should actually read the court documents and take a long hard look at themselves. You have brains. Use them. #JohnnyDepp #JohnnyDeppIsInnocent Show this thread",https://pbs.twimg.com/profile_images/1347612173934219264/lxVu_80A_mini.jpg,
,,,,,,
,,,,,,
R&MMF,@RAMMF1898,#IBelieveAndImWithAmberHeard #AmberHeardWasAVictim #AmberHeardIsInnocent #JusticeForAmberHeard,Replying to  @AngieUn27401972  @people  and 6 others,,,
,,,,,,
뤵뢩,@ging1126,#AmberHeardisInnocent   #JusticeForAmberHeard ,,,,
