id,text,defense_AH,support_AH,offense_AH,defense_against_AH
1,#AmberHeard #AmberHeardForever #AmberHeardIsMera Thanks bro,0,1,0,0
2,#WCW #WomanCrushWednesday @realamberheard  the once and future Queen #AmberHeardForever #AmberHeardIsMera #JusticeForAmberHeard,0,1,0,0
3,James Wan's Aquaman is hands down one of the best comic books films to date. #AmberHeard   isn't going anywhere like it or not.,0,1,0,0
4,Black Manta's wrath will be felt in #Aquaman2.  #AmberHeardIsMera* ,0,1,0,0
5,I am going to most likely get in trouble for this  Where is all that thing about women need to stick together  Abusive men need to be revealed  Women need to be empowered to speak up and not suffer in silence  #AmberHeardisMera #Aquaman2 #JusticeForAmberHeard,0.5,1,0,0
6,Umm... NO!!!  HELLS NO!!! #AmberHeard IS A PERFECT MERA #AmberHeardIsMera  WHY MESS WITH PERFECTION?,1,1,0,0
7,I agree!!! #AmberHeardIsMera,0,1,0,0
8,QUEEN MERA IS NOT GOING ANYWHERE   #AMBERHEARDISMERA,1,1,0,0
9,"I couldn’t have said it better myself nah, actually I could have if I wanted to.   #AmberHeardIsMera",0,1,0,0
10,Time to dive into Atlantis  #AquamanUnderwaterWorld starts NOW! #DCTuesdays  Stream on YouTube: https://youtu.be/cM9faE8Yv5w,0,1,0,0
11,"Queen of the seven seas, Queen of Atlantis, Mera princess of Xebel   #mera #queenmera #queenofatlantis #atlantean #atlantis #xebel #aquaman #amberheard #amberheardismera",0,1,0,0
12,MY TWO BABIES   #AmberHeard #Mera  #MEW #MaryElizabethWinstead #Huntress,0,1,0,0
13,//hell yeah baby!!! #AmberHeardForever #AmberHeardIsMera  ##MaryElizabethWinsteadIsHuntress,0,1,0,0
14,Yes! #JusticeLeague #AmberHeard #mera #AmberHeardismera #Aquaman #Aquaman2  The lunatics are probably frothing at the mouth about this and I love to see it.   #istandwithamberheard,0,1,0,0
15,Amber Heard Shuts Down Rumors She's Being Replaced on Aquaman 2: 'I'm Excited to Get Started',0.5,0.5,0,0
16,She is the victim. There's no reason for her to be fired! #JusticeForAmberHeard #AmberHeardIsMera #JohnnyDeppIsAWifeBeater,1,1,0,0
17,This mortal speaks the truth!!! #AmberHeardIsMera,0,1,0,0
18,It maybe #WonderWomanDay BUT... #AmberHeardIsMera,0,1,0,0
19,That is babe right there  #MeraEveryday   #AmberHeardIsMera #MeraIsQueen,0,1,0,0
20,Took the words right out of my mouth!!! #AmberHeardIsMera,0,1,0,0
21,"Yes she does,  @realamberheard  is Queen Mera of Atlantis, she has nothing to prove to annonce no matter what people say. she's a beautiful and strong woman and so as Mera   #queenmera #queenofatlantis #mera #AmberHeard #AmberHeardismera #amberheardfans #loveforamberheard",0,1,0,0
22,The Once and Future Queen #AmberHeardForever #AmberHeardIsMera #LoveAmberHeard #JusticeForAmberHeard The ONE TRUE Mera,0,1,0,0
23,The One True Queen #Mera #Aquaman  #AmberHeardIsMera https://instagram.com/p/CHglQ74hjgX/?igshid=zpo4kllbvose…,0,1,0,0
24,"Someone needs to check on DisGrace, Bosslogic and all of the Deppies   ""They tried to get rid of her but Oceans to Oceans""   #AmberHeardIsMera",0,1,0,0
25,#AmberHeardIsMera  #ForeverTeamAmberHeard,0,1,0,0
26,#AquamanUnderwaterWorld #AmberHeardIsMera ,0,1,0,0
27,¿Y no es maravilloso?,0,1,0,0
28,Alegras mis dias con tu hermosura querida. #AmberHeardIsMera,0,1,0,0
29,Yes! #AmberHeardIsMera,0,1,0,0
30,#AmberheardIsMera,0,1,0,0
31,#AmberHeardIsMera  #AmberHeardFrom,0,1,0,0
32,#AmberHeardForever #JusticeForAmberHeard #QueenAmberHeard #AmberHeardIsMera  #LoveAmberHeard,0,1,0,0
33,#amberheard #amberheardismera,0,1,0,0
