,index,from,to,label
0,0,100403709,149972361,1
1,1,100403709,150015118,1
2,2,100403709,150017901,1
3,3,100403709,150044848,1
4,4,100403709,150047046,1
5,5,100598876,111538286,1
6,6,100598876,117434319,1
7,7,100598876,175189530,1
8,8,100598876,179571481,1
9,9,100598876,188020896,1
10,10,100598876,214189150,1
11,11,100598876,219877513,1
12,12,100598876,22075656,1
13,13,100598876,235084907,1
14,14,100598876,265044564,1
15,15,100598876,308867052,1
16,16,100598876,96395355,1
17,17,100598876,98535234,1
18,18,100609303,270444135,1
19,19,100609303,304534156,1
20,20,100609303,48762549,1
21,21,100609303,55171000,1
22,22,101651172,104835591,1
23,23,101651172,131025387,1
24,24,101651172,17271531,1
25,25,101651172,175949186,1
26,26,101651172,179726755,1
27,27,101651172,183186928,1
28,28,101651172,214189150,1
29,29,101651172,219931163,1
30,30,101651172,220229974,1
31,31,101651172,224448548,1
32,32,101651172,245615422,1
33,33,101651172,249619822,1
34,34,101651172,258733442,1
35,35,101651172,282131186,1
36,36,101651172,306093189,1
37,37,101651172,312636675,1
38,38,101651172,31984721,1
39,39,101651172,329016575,1
40,40,101651172,329775695,1
41,41,101651172,330077453,1
42,42,101651172,37183610,1
43,43,101651172,48137804,1
44,44,101651172,52904219,1
45,45,101651172,65066980,1
46,46,101651172,71464781,1
47,47,101651172,92151599,1
48,48,102172518,14465791,1
49,49,102172518,16109610,1
50,50,102172518,16317097,1
51,51,102172518,21791742,1
52,52,102172518,22515367,1
53,53,102172518,23343292,1
54,54,102172518,25365348,1
55,55,102172518,25796687,1
56,56,102172518,264444497,1
57,57,102172518,309029654,1
58,58,102172518,33371169,1
59,59,102172518,5692562,1
60,60,102327360,135572122,1
61,61,102327360,192485372,1
62,62,102327360,199440756,1
63,63,102327360,20375391,1
64,64,102327360,26019565,1
65,65,102327360,317902986,1
66,66,102327360,57427831,1
67,67,102327360,72591949,1
68,68,102327360,77400364,1
69,69,102327360,85197065,1
70,70,102327360,88263908,1
71,71,102400582,119472027,1
72,72,102400582,16096416,1
73,73,102400582,161817127,1
74,74,102400582,203856167,1
75,75,102400582,204528531,1
76,76,102400582,21251877,1
77,77,102400582,21544687,1
78,78,102400582,225176610,1
79,79,102400582,230259553,1
80,80,102400582,249916416,1
81,81,102400582,28357463,1
82,82,102400582,295568886,1
83,83,102400582,296151410,1
84,84,102400582,296821356,1
85,85,102400582,323557195,1
86,86,102400582,35927215,1
87,87,102400582,40233549,1
88,88,102400582,40903635,1
89,89,102400582,49567861,1
90,90,102400582,76795796,1
91,91,102573520,122078155,1
92,92,102573520,125463946,1
93,93,102573520,14524776,1
94,94,102573520,191019089,1
95,95,102573520,198543195,1
96,96,102573520,207610060,1
97,97,102573520,278684522,1
98,98,102573520,282131186,1
99,99,102573520,293341630,1
100,100,102573520,315000416,1
101,101,102573520,322023019,1
102,102,102573520,41984424,1
103,103,102573520,48474497,1
104,104,102573520,51584655,1
105,105,102573520,62820154,1
106,106,102573520,81237494,1
107,107,102573520,87212384,1
108,108,102573520,90333713,1
109,109,102670049,103501535,1
110,110,102670049,104722343,1
111,111,102670049,178043902,1
112,112,102670049,188020896,1
113,113,102670049,208895669,1
114,114,102670049,214754122,1
115,115,102670049,26814090,1
116,116,102670049,289941721,1
117,117,102670049,29589914,1
118,118,102670049,29638200,1
119,119,102670049,322748869,1
120,120,102670049,62515912,1
121,121,103404385,130949934,1
122,122,103404385,166124068,1
123,123,103404385,204248377,1
124,124,103404385,71324001,1
125,125,103404385,88476786,1
126,126,103404385,897791,1
127,127,103501535,104722343,1
128,128,103501535,140211160,1
129,129,103501535,176385702,1
130,130,103501535,178043902,1
131,131,103501535,188020896,1
132,132,103501535,208895669,1
133,133,103501535,214754122,1
134,134,103501535,26814090,1
135,135,103501535,289941721,1
136,136,103501535,29589914,1
137,137,103501535,29638200,1
138,138,103501535,322748869,1
139,139,103501535,39086162,1
140,140,103501535,46832422,1
141,141,103501535,47900993,1
142,142,103501535,56683641,1
143,143,103501535,62515912,1
144,144,103934890,131649037,1
145,145,103934890,135572122,1
146,146,103934890,15654528,1
147,147,103934890,15782051,1
148,148,103934890,168535867,1
149,149,103934890,17293637,1
150,150,103934890,177913209,1
151,151,103934890,178388029,1
152,152,103934890,18341426,1
153,153,103934890,186049654,1
154,154,103934890,18758454,1
155,155,103934890,198604429,1
156,156,103934890,23380149,1
157,157,103934890,241420879,1
158,158,103934890,275254894,1
159,159,103934890,317433237,1
160,160,103934890,323028917,1
161,161,103934890,42887927,1
162,162,103934890,56623474,1
163,163,103934890,73987740,1
164,164,103934890,97249245,1
165,165,104355076,120863692,1
166,166,104355076,22642731,1
167,167,104355076,254255652,1
168,168,104355076,257906069,1
169,169,104355076,262026774,1
170,170,104355076,37641364,1
171,171,104355076,47006105,1
172,172,104355076,66000570,1
173,173,104355076,70285116,1
174,174,104355076,88630617,1
175,175,104546417,11827842,1
176,176,104546417,14196068,1
177,177,104546417,14305399,1
178,178,104546417,152381354,1
179,179,104546417,15733475,1
180,180,104546417,17112369,1
181,181,104546417,19762497,1
