,index,from,to,label
0,0,100240546,1063994394,1
1,1,100240546,14307007,1
2,2,100240546,18460072,1
3,3,100240546,23362439,1
4,4,100240546,2340806538,1
5,5,100240546,2416365552,1
6,6,100240546,2921680095,1
7,7,100240546,2967715630,1
8,8,100240546,3014505803,1
9,9,100240546,3254883055,1
10,10,100240546,3270934128,1
11,11,100240546,331809855,1
12,12,100240546,334273507,1
13,13,100240546,400308445,1
14,14,100240546,615675507,1
15,15,100240546,868780140,1
16,16,100240546,89375008,1
17,17,100258014,187831160,1
18,18,100258014,2247391664,1
19,19,100258014,25110386,2
20,20,100258014,2707246902,2
21,21,100258014,2790545412,2
22,22,100258014,28803148,2
23,23,100258014,419692564,1
24,24,100258014,731266728,2
25,25,1002717049,1194258204,1
26,26,1002717049,1267740247,1
27,27,1002717049,1376915634,1
28,28,1002717049,15819466,1
29,29,1002717049,1645861206,1
30,30,1002717049,172134351,1
31,31,1002717049,196520294,1
32,32,1002717049,198411000,1
33,33,1002717049,211807684,1
34,34,1002717049,212985217,1
35,35,1002717049,261151171,1
36,36,1002717049,2731480588,1
37,37,1002717049,278533593,1
38,38,1002717049,2882813980,1
39,39,1002717049,322068348,1
40,40,1002717049,403958139,1
41,41,1002717049,426780370,1
42,42,1002717049,534782090,1
43,43,1002717049,547836494,1
44,44,1002717049,723051427,1
45,45,1002717049,87814493,1
46,46,1002717049,925222741,1
47,47,100271753,1013430282,1
48,48,100271753,138171505,1
49,49,100271753,1656968244,1
50,50,100271753,3286164235,1
51,51,100271753,50858455,1
52,52,100271753,735151424,1
53,53,1003604252,122231268,1
54,54,1003604252,2812943960,1
55,55,1003604252,425987075,1
56,56,1003604252,620485042,1
57,57,1004550942,1268150778,1
58,58,1004550942,157547295,1
59,59,1004550942,1586756869,1
60,60,1004550942,2200431691,1
61,61,1004550942,2373564438,1
62,62,1004550942,24151700,1
63,63,1004550942,2457219207,1
64,64,1004550942,255243832,1
65,65,1004550942,268344900,1
66,66,1004550942,2821256561,1
67,67,1004550942,2901181139,1
