,index,from,to,label
0,0,1001541660,122821529,1
1,1,1001541660,1542954565,1
2,2,1001541660,18470556,1
3,3,1001541660,243724564,1
4,4,1001541660,277041840,1
5,5,1001541660,3123380195,1
6,6,1001541660,416220759,1
7,7,1001541660,711154767645577216,1
8,8,1001541660,775688,1
9,9,1003922414,1038720716,1
10,10,1003922414,1352440980,1
11,11,1003922414,25356353,1
12,12,1003922414,2893030210,1
13,13,1003922414,46962230,1
14,14,1003922414,587717957,1
15,15,1003922414,620559336,1
16,16,1003922414,620560125,1
17,17,1005192426,130771057,1
18,18,1005192426,187241511,1
19,19,1005192426,2494833453,1
20,20,1005192426,2829402252,1
21,21,1005192426,2856016090,1
22,22,1005192426,2946689073,1
23,23,1005192426,704296663,1
24,24,100558028,135728562,1
25,25,100558028,250958387,1
26,26,100558028,259491379,1
27,27,100558028,2616673266,1
28,28,100558028,2878054218,1
29,29,100558028,598008156,1
30,30,100558028,798972987185758213,1
31,31,100609303,117954474,1
32,32,100609303,1479952356,1
33,33,100609303,158559238,1
34,34,100609303,17625167,1
35,35,100609303,2186237229,1
36,36,100609303,2284900040,1
37,37,100609303,339929776,1
38,38,100609303,3659092103,1
39,39,100609303,551412550,1
40,40,100609303,713119722611609601,1
41,41,100609303,765149889084940288,1
42,42,100609303,772342477974073344,1
43,43,100609303,801385380717166592,1
44,44,1006705364,1040755766,1
45,45,1006705364,135321529,1
46,46,1006705364,1686921746,1
47,47,1006705364,2366223199,1
48,48,1006705364,2458539979,1
49,49,1006705364,28818582,1
50,50,1006705364,289998339,1
51,51,1006705364,3240272615,1
52,52,1006705364,324263000,1
53,53,1006705364,36054761,2
54,54,1006705364,3846617902,1
55,55,1006705364,704276399679520768,1
56,56,1006705364,786272867163877376,1
57,57,1006705364,801073252059779072,1
58,58,1006705364,852667086,1
59,59,1006705364,936161322,1
60,60,100779526,108400186,1
61,61,100779526,1252242577,1
62,62,100779526,14109542,1
63,63,100779526,14511951,1
64,64,100779526,1833135806,1
65,65,100779526,1862901781,1
66,66,100779526,22208192,1
67,67,100779526,232169301,1
68,68,100779526,2469416600,1
69,69,100779526,2544914191,1
70,70,100779526,2773005085,1
71,71,100779526,2829689950,1
72,72,100779526,3044818331,1
73,73,100779526,3428990109,1
74,74,100779526,3895973896,1
75,75,100779526,4289485636,1
76,76,100779526,48160462,1
77,77,100779526,66295774,1
78,78,100779526,704276399679520768,1
79,79,100779526,737142202481016832,1
80,80,100779526,745739407135752193,1
81,81,100779526,794503750136176640,1
82,82,100779526,80873474,1
83,83,100779526,902966772,1
84,84,100962406,15770846,1
85,85,100962406,1936997696,1
86,86,100962406,20640996,1
87,87,100962406,237851661,1
88,88,100962406,2520892212,1
89,89,100962406,2884771,1
90,90,100962406,29459494,1
91,91,100962406,3385973607,1
92,92,100962406,3417766691,1
93,93,100962406,3589795108,1
94,94,100962406,4396120342,1
95,95,100962406,5692662,1
96,96,100962406,630562741,1
97,97,100962406,709573272,1
98,98,100962406,745739407135752193,1
99,99,100962406,764342713093267456,1
100,100,100962406,773902457546149888,1
101,101,100962406,775110978589589504,1
102,102,100962406,79199888,1
103,103,100962406,874984340,1
104,104,100986964,1013430282,1
105,105,100986964,1020861379,1
106,106,100986964,107631340,2
107,107,100986964,109889988,3
108,108,100986964,1102441076,3
109,109,100986964,1110493099,2
110,110,100986964,1114119846,1
111,111,100986964,121049369,1
112,112,100986964,1261839493,1
113,113,100986964,1300459141,1
114,114,100986964,131865253,2
115,115,100986964,138163122,2
116,116,100986964,138171505,1
117,117,100986964,138196823,1
118,118,100986964,138198688,2
119,119,100986964,138201371,1
120,120,100986964,138204314,3
121,121,100986964,138223321,3
122,122,100986964,138233527,1
123,123,100986964,1393622335,3
124,124,100986964,1397513851,1
125,125,100986964,1492429453,1
126,126,100986964,1555544708,1
127,127,100986964,157288948,1
128,128,100986964,162854063,2
129,129,100986964,16331010,3
130,130,100986964,1640944285,1
131,131,100986964,175244047,1
132,132,100986964,1958040062,3
133,133,100986964,210352902,1
134,134,100986964,2228055810,2
135,135,100986964,2276848446,1
136,136,100986964,23626316,1
137,137,100986964,2493848480,1
138,138,100986964,2544914191,1
139,139,100986964,269434402,3
140,140,100986964,27073389,2
141,141,100986964,2777329473,3
142,142,100986964,2801863783,3
143,143,100986964,2813231534,3
144,144,100986964,2823386905,3
145,145,100986964,286238756,3
146,146,100986964,287441745,1
147,147,100986964,2884903283,1
148,148,100986964,2934196334,2
149,149,100986964,2940016493,1
150,150,100986964,296779702,2
151,151,100986964,297097895,3
152,152,100986964,30371641,3
153,153,100986964,306324985,1
154,154,100986964,3089671252,2
155,155,100986964,325926759,3
156,156,100986964,3270615601,1
157,157,100986964,3286164235,1
158,158,100986964,3385988523,1
159,159,100986964,3412526953,1
160,160,100986964,3417643457,1
161,161,100986964,344986687,3
162,162,100986964,351536170,3
163,163,100986964,36098990,1
164,164,100986964,3713644340,3
165,165,100986964,372951272,3
166,166,100986964,374578350,2
167,167,100986964,4256298574,1
168,168,100986964,447368555,1
169,169,100986964,453176496,4
170,170,100986964,55290658,1
171,171,100986964,556637015,2
172,172,100986964,587465971,1
173,173,100986964,59576657,3
174,174,100986964,620485042,1
175,175,100986964,700330454,3
176,176,100986964,702155270,1
177,177,100986964,720284357131243521,2
178,178,100986964,730102909136818176,1
179,179,100986964,732859440,2
180,180,100986964,733115984655966208,1
181,181,100986964,747948191539073026,1
182,182,100986964,756245898,2
183,183,100986964,767249162937171968,1
184,184,100986964,77585309,1
185,185,100986964,781038763103363072,1
186,186,100986964,784064981427974144,1
187,187,100986964,79199888,1
188,188,100986964,857547042,1
189,189,100986964,860819376,3
190,190,100986964,911044968,3
191,191,100986964,92995708,3
192,192,100986964,978566010,3
193,193,1013430282,1114119846,2
194,194,1013430282,1348076768,1
195,195,1013430282,135321529,1
196,196,1013430282,138146421,1
197,197,1013430282,138171505,3
198,198,1013430282,138174522,1
199,199,1013430282,138196823,2
200,200,1013430282,138201371,1
201,201,1013430282,138223321,2
202,202,1013430282,138233527,2
203,203,1013430282,1420660507,1
204,204,1013430282,1555544708,2
205,205,1013430282,2543982944,1
206,206,1013430282,27073389,1
207,207,1013430282,2846815271,1
208,208,1013430282,28595747,1
209,209,1013430282,2893030210,1
210,210,1013430282,3061111232,1
211,211,1013430282,306324985,1
212,212,1013430282,3089671252,1
213,213,1013430282,3138721908,1
214,214,1013430282,319261061,1
215,215,1013430282,325926759,2
216,216,1013430282,3286164235,2
217,217,1013430282,3294220550,1
218,218,1013430282,3385988523,1
219,219,1013430282,3412526953,2
220,220,1013430282,3416635955,1
221,221,1013430282,350958595,1
222,222,1013430282,3964907548,1
223,223,1013430282,41911843,1
224,224,1013430282,453176496,2
225,225,1013430282,462364793,1
226,226,1013430282,56246250,2
227,227,1013430282,59576657,2
228,228,1013430282,620485042,2
229,229,1013430282,700540491339689984,1
230,230,1013430282,710138673409495042,1
231,231,1013430282,725395220964212741,1
232,232,1013430282,731309318,1
233,233,1013430282,756245898,1
234,234,1013430282,781038763103363072,2
235,235,1013430282,784064981427974144,2
236,236,1013430282,857547042,2
237,237,1013430282,978997525,1
238,238,101590333,118750022,1
239,239,101590333,1206858936,1
240,240,101590333,1397885952,1
241,241,101590333,1456737116,1
242,242,101590333,1616722914,1
243,243,101590333,187538382,1
244,244,101590333,21242306,1
245,245,101590333,2153034313,1
246,246,101590333,2186866550,1
247,247,101590333,2328219619,1
248,248,101590333,2345675540,1
249,249,101590333,2789523662,1
250,250,101590333,2812320500,1
251,251,101590333,2889505745,1
252,252,101590333,2952468078,1
253,253,101590333,3259090279,1
254,254,101590333,327378411,1
255,255,101590333,330182862,1
256,256,101590333,3319757930,1
257,257,101590333,3333901341,1
258,258,101590333,3364975700,1
259,259,101590333,41962111,1
260,260,101590333,422965319,1
261,261,101590333,4437467713,1
262,262,101590333,4913962148,1
263,263,101590333,555763905,1
264,264,101590333,595487143,1
265,265,101590333,614614177,1
266,266,101590333,737790276089970688,1
267,267,101590333,76738512,1
268,268,101590333,95959122,1
269,269,101633799,3069224081,1
270,270,101633799,3188578862,1
271,271,101633799,3241367505,1
272,272,101633799,337834455,1
273,273,101633799,50157605,1
274,274,101633799,766627542665224192,1
275,275,1016768390,1893333608,1
276,276,1016768390,1941777390,1
277,277,1016768390,2325145039,1
278,278,1016768390,2330383567,1
279,279,1016768390,24691102,1
280,280,1016768390,262994443,1
281,281,1016768390,3284933408,1
282,282,1016768390,344329872,1
283,283,1016768390,386476220,1
284,284,1016768390,465061006,1
285,285,1016768390,579876145,1
286,286,1016768390,619714423,1
287,287,1016768390,620468659,1
288,288,1016768390,620485042,1
289,289,1016768390,620544423,1
290,290,1018694262,1077625020,1
291,291,1018694262,108718796,1
292,292,1018694262,113144166,1
293,293,1018694262,142236727,1
294,294,1018694262,2563329284,1
295,295,1018694262,25643589,1
296,296,1018694262,2687620224,1
297,297,1018694262,319088446,1
298,298,1018694262,353030511,1
299,299,1018694262,444734467,1
300,300,1018694262,499290799,1
301,301,1018694262,619609992,1
302,302,1018694262,728215615,1
303,303,1018694262,761272782,1
304,304,1018694262,769176605784543232,1
305,305,1018694262,878590604,1
306,306,1020058453,145329554,1
307,307,1020058453,2869648083,1
308,308,1020058453,3012072137,1
309,309,1020058453,3919121484,1
310,310,1020058453,4697409102,1
311,311,1020058453,723233599848370180,1
312,312,1020058453,740882012,1
313,313,1020058453,750627959766151168,1
314,314,1020058453,751959814843105281,1
315,315,1020058453,773902457546149888,1
316,316,1020058453,776619131495862272,1
317,317,1020058453,780003740900323328,1
318,318,1020058453,784322738,1
319,319,1020058453,785212520537681920,1
320,320,1020530180,1097912630,1
321,321,1020530180,1216821044,1
322,322,1020530180,135321529,1
323,323,1020530180,138224760,1
324,324,1020530180,1531699093,1
325,325,1020530180,15501305,2
326,326,1020530180,1566063674,2
327,327,1020530180,19538986,1
328,328,1020530180,225188784,2
329,329,1020530180,2319017797,1
330,330,1020530180,2393490350,2
331,331,1020530180,2466729240,2
332,332,1020530180,293027512,1
333,333,1020530180,3012072137,1
334,334,1020530180,3130105667,1
335,335,1020530180,538971892,1
336,336,1020530180,542854724,1
337,337,1020530180,723326540,2
338,338,1020530180,723504837971841024,1
339,339,1020530180,747948191539073026,1
340,340,1020530180,762349027,2
341,341,102076137,16312576,1
342,342,102076137,19546942,1
343,343,102076137,27677542,1
344,344,102076137,3893557647,1
345,345,102076137,704987889902424064,1
346,346,102076137,704990673452331008,1
347,347,102076137,727044447905652736,1
348,348,102076137,745739407135752193,1
349,349,102076137,781038763103363072,1
350,350,102076137,80873474,1
351,351,1020861379,107631340,1
352,352,1020861379,109889988,1
