,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
53,899837906289737729,comix_mx,‎Comic Spot,2017-08-22 03:37:29+00:00,Mexico,14242,197,21150,http://pbs.twimg.com/profile_images/1377134560274616323/SgL4OscF_normal.jpg,https://pbs.twimg.com/profile_banners/899837906289737729/1616375000,
88,543781165,Browndalorian,Adrian Fernando,2012-04-02 22:27:50+00:00,"Calgary, Alberta",556,2224,22580,http://pbs.twimg.com/profile_images/1313175910938341376/Tq0vycci_normal.jpg,https://pbs.twimg.com/profile_banners/543781165/1615325221,
112,2267886469,ganseyvibes,.,2013-12-29 20:41:32+00:00,,825,639,57563,http://pbs.twimg.com/profile_images/1272909008920289288/ySXNmO4u_normal.jpg,https://pbs.twimg.com/profile_banners/2267886469/1592320133,
259,1184641649827287042,Koldo_Aramburu,Koldo 🎗,2019-10-17 01:25:58+00:00,,21,162,348,http://pbs.twimg.com/profile_images/1184642105580380161/dqnPCDJl_normal.jpg,https://pbs.twimg.com/profile_banners/1184641649827287042/1571275921,
315,866715345406615552,JulianSand15,Julian Sandoval,2017-05-22 18:00:15+00:00,"Clearwater, FL",174,707,3441,http://pbs.twimg.com/profile_images/1274378235900571648/AWaxzhGn_normal.jpg,https://pbs.twimg.com/profile_banners/866715345406615552/1615789508,
319,944926610024779777,artsaheard,best of amber heard,2017-12-24 13:43:54+00:00,"Aquaman 2, June 2021(filming)",4624,80,6047,http://pbs.twimg.com/profile_images/1378269710362480640/LxbGutyx_normal.png,https://pbs.twimg.com/profile_banners/944926610024779777/1617440118,
459,244720909,Wick014,Chadwick,2011-01-30 00:10:55+00:00,"Columbus,Ohio",572,523,51318,http://pbs.twimg.com/profile_images/1187910911908077568/wfRwsMWy_normal.jpg,https://pbs.twimg.com/profile_banners/244720909/1602479786,
778,3390648585,xiiion,🗡,2015-07-24 09:03:04+00:00,( resurgam ) she / her,802,195,13944,http://pbs.twimg.com/profile_images/1290264724840624128/EahJ8jTA_normal.jpg,https://pbs.twimg.com/profile_banners/3390648585/1596458057,
849,725025630971125760,CeIebritease,Celebrities,2016-04-26 18:15:55+00:00,,94914,2862,49049,http://pbs.twimg.com/profile_images/725027598372200448/j7KJqCY4_normal.jpg,https://pbs.twimg.com/profile_banners/725025630971125760/1461695498,
914,1185056856382824450,NateSupreme5,Nate No More,2019-10-18 04:56:08+00:00,,23,54,8463,http://pbs.twimg.com/profile_images/1348390021473177605/qBw6UQOc_normal.jpg,https://pbs.twimg.com/profile_banners/1185056856382824450/1610870008,
959,29965330,suebsg9,This Account Stands By Jensen and Danneel (EDG),2009-04-09 11:33:15+00:00,Pure Michigan ,1133,585,93801,http://pbs.twimg.com/profile_images/1378033619093098500/JppLSJsZ_normal.jpg,https://pbs.twimg.com/profile_banners/29965330/1616775298,
976,1164477733109452800,IOA_14,ℑ𝔒𝔄_14,2019-08-22 10:01:55+00:00,,27,36,2128,http://pbs.twimg.com/profile_images/1308086473988730887/rUR0ZsRD_normal.jpg,https://pbs.twimg.com/profile_banners/1164477733109452800/1600630777,
1092,99703383,mahobili,"do kilo alu, o meri shaalu",2009-12-27 12:57:18+00:00,Aggay ja k khabbay hoja parawa,62569,872,527362,http://pbs.twimg.com/profile_images/1380143956160356353/Qt7cuEMj_normal.jpg,https://pbs.twimg.com/profile_banners/99703383/1615388724,
1164,637095944,garlicemoji,ky,2012-07-16 16:30:09+00:00,muppetvision 3d,1049,1598,58677,http://pbs.twimg.com/profile_images/1309613287722692614/I7opexxN_normal.jpg,https://pbs.twimg.com/profile_banners/637095944/1584293267,
1254,1417068746,petrGVl,petr,2013-05-10 03:29:00+00:00,,1112,60,7633,http://pbs.twimg.com/profile_images/1366485862817619978/O44Du5iZ_normal.jpg,https://pbs.twimg.com/profile_banners/1417068746/1614630596,
1601,1161602281701335040,CosmiqueStudio,Cosmique Studio Aesthetic Outfits,2019-08-14 11:35:40+00:00,United States,54,108,1093,http://pbs.twimg.com/profile_images/1179062185512841216/ZLYS8C3x_normal.png,https://pbs.twimg.com/profile_banners/1161602281701335040/1613923837,
1663,1641283411,fayettevamp,Chloe,2013-08-02 20:27:33+00:00,,1899,806,79754,http://pbs.twimg.com/profile_images/1370638426328928257/Vl5a1itG_normal.jpg,https://pbs.twimg.com/profile_banners/1641283411/1590636011,
1673,885440720160661505,LordCelebs,𝕷𝖔𝖗𝖉👑𝕮𝖊𝖑𝖊𝖇𝖘✨,2017-07-13 10:08:13+00:00,,35636,340,11839,http://pbs.twimg.com/profile_images/1006587625321517057/4NFtVBu1_normal.jpg,https://pbs.twimg.com/profile_banners/885440720160661505/1552074825,
1709,1006319742578094081,TheBeautiesPage,Beauties,2018-06-11 23:38:17+00:00,,1439,776,13987,http://pbs.twimg.com/profile_images/1006683404828598272/CgmXLlue_normal.jpg,https://pbs.twimg.com/profile_banners/1006319742578094081/1528846954,
1747,779338053231992832,Miss_JujuBass,Robyn Fenty’s soulmate,2016-09-23 15:14:06+00:00,"Durban, South Africa",352,385,10794,http://pbs.twimg.com/profile_images/1368502985656041472/8b9dDOJ6_normal.jpg,https://pbs.twimg.com/profile_banners/779338053231992832/1603355245,
1782,1055633580,madamspellmanx,🏳️‍🌈🏳️‍🌈🏳️‍🌈,2013-01-02 17:26:44+00:00,🏳️‍🌈,9660,697,84710,http://pbs.twimg.com/profile_images/1215384679638945792/DM-_bz4a_normal.jpg,https://pbs.twimg.com/profile_banners/1055633580/1565425221,
1788,912061432228917249,wujuseola,soph. #UNNATURAL🌷,2017-09-24 21:09:25+00:00,always with iz*one & wjsn.,502,251,10475,http://pbs.twimg.com/profile_images/1378788721231855619/jRLB8suO_normal.jpg,https://pbs.twimg.com/profile_banners/912061432228917249/1615785894,
1795,1085940912600035330,tyronthirlwards,tyron,2019-01-17 16:44:24+00:00,8.25.19 || she/her,441,215,15788,http://pbs.twimg.com/profile_images/1358340259726188547/ghL-vLrl_normal.jpg,https://pbs.twimg.com/profile_banners/1085940912600035330/1611403407,
1847,3367534101,jennifcrs,natasha with blue hair 𐋀,2015-07-09 12:53:40+00:00,he/they | @jenjudys | keiynan,3374,672,78411,http://pbs.twimg.com/profile_images/1374439616976097291/B8ZVgE29_normal.jpg,https://pbs.twimg.com/profile_banners/3367534101/1616528796,
1912,3608867476,svgelyn,maría,2015-09-10 11:53:03+00:00,,1038,82,59724,http://pbs.twimg.com/profile_images/1378469833063473156/mhZx070l_normal.jpg,https://pbs.twimg.com/profile_banners/3608867476/1617487793,
1958,1104795200,kaihavertzfc,livia,2013-01-19 22:16:12+00:00,,2503,545,223518,http://pbs.twimg.com/profile_images/1316951194183630849/6tVtFJft_normal.jpg,https://pbs.twimg.com/profile_banners/1104795200/1617853801,
1959,1074766692197261312,sIowdiscotits,mad woman,2018-12-17 20:42:02+00:00,she/her ,2440,218,16377,http://pbs.twimg.com/profile_images/1371320929360437248/CKfhuUjn_normal.jpg,https://pbs.twimg.com/profile_banners/1074766692197261312/1617049280,
1967,2552732545,96cvban,A.J.🇵🇷,2014-06-07 14:28:53+00:00,good question.,1460,241,87652,http://pbs.twimg.com/profile_images/1379824807177510914/RM3cZqX-_normal.jpg,https://pbs.twimg.com/profile_banners/2552732545/1617975685,
2192,749603931160883200,JScottGray,J. Scott Gray,2016-07-03 14:01:18+00:00,"Baton Rouge, LA",7324,5468,34090,http://pbs.twimg.com/profile_images/1167871166448467973/QTpchNcE_normal.jpg,https://pbs.twimg.com/profile_banners/749603931160883200/1573417818,
2275,279694216,mk_shafii,Maharaja,2011-04-09 20:28:00+00:00,Dystopia,1772,1289,129620,http://pbs.twimg.com/profile_images/1378627386049236994/zrFhoZf7_normal.jpg,https://pbs.twimg.com/profile_banners/279694216/1611248483,
2347,1113842063462653952,itsn0g00d,It'sNØGØØd | 3Ø3,2019-04-04 16:33:36+00:00,United States,496,882,15513,http://pbs.twimg.com/profile_images/1299430689796796417/GsWo6GmI_normal.jpg,https://pbs.twimg.com/profile_banners/1113842063462653952/1604938955,
2364,901134447952769025,Brrittah,chicxulub impactor☄️,2017-08-25 17:29:29+00:00,Adult - she/they - USA,18,99,3437,http://pbs.twimg.com/profile_images/1365763460462768138/5PbIQIdN_normal.jpg,https://pbs.twimg.com/profile_banners/901134447952769025/1616813883,
2375,1021002478400262145,PakPelis,PelisPak,2018-07-22 12:02:15+00:00,"Madrid, España",2,0,369,http://pbs.twimg.com/profile_images/1031875461880655872/IBrFiLS2_normal.jpg,https://pbs.twimg.com/profile_banners/1021002478400262145/1606828203,
2379,788917314121072640,LigmaBalls01,Jaypi3,2016-10-20 01:38:39+00:00,,170,1212,16693,http://pbs.twimg.com/profile_images/1378842379613044741/_eIp6_hQ_normal.jpg,https://pbs.twimg.com/profile_banners/788917314121072640/1614473303,
2587,1708733114,niklander2,Niklander indebted to 50.000 worlds.,2013-08-29 01:31:37+00:00,"Νίκαια, Ελλάς",1046,2759,185295,http://pbs.twimg.com/profile_images/1373510033619742720/J3lsakn-_normal.jpg,https://pbs.twimg.com/profile_banners/1708733114/1616305288,
2603,2316892876,gastrospasm,Broncospasm,2014-01-31 21:15:13+00:00,,4,116,186,http://pbs.twimg.com/profile_images/847946654921699334/AbTW-qHM_normal.jpg,https://pbs.twimg.com/profile_banners/2316892876/1491000882,
2610,992496935977209856,wlwlover,she/her,2018-05-04 20:11:24+00:00,"Los Angeles, CA",254,78,1423,http://pbs.twimg.com/profile_images/1317428256606310400/dU0pPDmX_normal.jpg,https://pbs.twimg.com/profile_banners/992496935977209856/1575696693,
