,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
46,1497413973838204928,CarmenA68784827,Carmen Aguilar,2022-02-26 03:31:53+00:00,,19,52,1463,http://pbs.twimg.com/profile_images/1498353978181963780/ze173wpi_normal.jpg,,
68,2950637946,caseyroo13,Caseface13,2014-12-29 17:32:37+00:00,,12,54,153,http://pbs.twimg.com/profile_images/1497521279749947392/oFae_SJU_normal.jpg,https://pbs.twimg.com/profile_banners/2950637946/1645871882,
100,25965191,MoontideGal,Tanya,2009-03-23 06:32:51+00:00,Planet Earth,330,3753,7235,http://pbs.twimg.com/profile_images/743449351159062528/sx8Mh_d5_normal.jpg,https://pbs.twimg.com/profile_banners/25965191/1596433083,
174,32784118,deppheadFFF,FlaviaDepphead 🍩⚔,2009-04-18 04:28:10+00:00,,54,147,1879,http://pbs.twimg.com/profile_images/1382349753963450373/PbCmESXg_normal.jpg,https://pbs.twimg.com/profile_banners/32784118/1609841878,
260,1495029630297903104,MissMonroe2662,Miss❤️Monroe,2022-02-19 13:39:05+00:00,,169,608,1294,http://pbs.twimg.com/profile_images/1495180955669213186/CvJ-DOHx_normal.jpg,https://pbs.twimg.com/profile_banners/1495029630297903104/1650732254,
261,3274730588,TheDisney1923,Ralphie Saavedra Says Fuck Elon Musk #IASolidarity,2015-07-10 17:04:16+00:00,"Disneyland, My Cranium",126,2503,3944,http://pbs.twimg.com/profile_images/1490041586520047618/ioKmcPJx_normal.jpg,https://pbs.twimg.com/profile_banners/3274730588/1500177659,
401,450986846,paulineweston2,Pauline Weston #JusticeforJohnnyDepp,2011-12-30 22:22:35+00:00,England ,927,898,4639,http://pbs.twimg.com/profile_images/1504808995747508224/rtcyr7cc_normal.jpg,https://pbs.twimg.com/profile_banners/450986846/1582738216,
432,1296959234123464705,AmariaLightness,Amaria,2020-08-21 23:56:01+00:00,,206,227,3990,http://pbs.twimg.com/profile_images/1296959901755944960/sgB8L2Ws_normal.jpg,https://pbs.twimg.com/profile_banners/1296959234123464705/1598056500,
536,117964493,Eris0303,Kristin Marie,2010-02-27 05:11:24+00:00,NJ,825,1364,24538,http://pbs.twimg.com/profile_images/1233910468726710273/He9yGawE_normal.jpg,https://pbs.twimg.com/profile_banners/117964493/1421694603,
657,2415176101,Tboneator64,Tboneator 🇨🇦 #3XVaxxedMaskedFamily!!! 🇺🇦🥰❤,2014-03-28 01:48:53+00:00, Soon To Be Ex Ford Country!! ,4791,4448,238038,http://pbs.twimg.com/profile_images/1285047963102912521/O5q7wvly_normal.jpg,https://pbs.twimg.com/profile_banners/2415176101/1649513411,
753,1330906980035203072,Sandonthebeach0,Sand W,2020-11-23 16:12:19+00:00,France,131,333,5807,http://pbs.twimg.com/profile_images/1498554280059580417/uxcXGujy_normal.jpg,https://pbs.twimg.com/profile_banners/1330906980035203072/1645866988,
760,3820442897,DoubleR310,Richard Schertzer,2015-09-30 03:07:51+00:00,"Fort Washington, MD",308,1986,1892,http://pbs.twimg.com/profile_images/1467279192865845249/_dogSn_2_normal.jpg,https://pbs.twimg.com/profile_banners/3820442897/1638659703,
801,1409516718083411970,TheMadGodHaelor,The Mad God,2021-06-28 14:19:28+00:00,Shorvia ,281,359,33769,http://pbs.twimg.com/profile_images/1433421890190667786/5LPTCwnG_normal.jpg,https://pbs.twimg.com/profile_banners/1409516718083411970/1648134169,
1078,1459648613219454983,Elliezjones,Elliejones,2021-11-13 22:25:28+00:00,,10,13,100,http://pbs.twimg.com/profile_images/1514029450601582596/xftuVHpQ_normal.jpg,,
1181,1484920545854566402,amers_j,AmyJ,2022-01-22 16:07:27+00:00,,10,107,117,http://pbs.twimg.com/profile_images/1485014627780112385/cBGLqWz4_normal.jpg,,
1482,26193647,Angel_Teale,💫 Angel Teale,2009-03-24 06:59:18+00:00,East Coast Australia,230,3548,10960,http://pbs.twimg.com/profile_images/1267405824357396482/1rOdjYc4_normal.jpg,https://pbs.twimg.com/profile_banners/26193647/1650855120,
1483,1455717995993575427,SharonLRT71,Sharon 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦 #FBPE #FBSI,2021-11-03 02:07:14+00:00,Scotland,1554,1774,453,http://pbs.twimg.com/profile_images/1504516898532245511/XsMn8W7C_normal.jpg,https://pbs.twimg.com/profile_banners/1455717995993575427/1635910461,
1555,1208818373439737856,AutistLady,TheLadyAutist,2019-12-22 18:35:46+00:00,"Springfield, MO",1625,1961,18033,http://pbs.twimg.com/profile_images/1503343032351002630/EQr9biwG_normal.jpg,https://pbs.twimg.com/profile_banners/1208818373439737856/1620165714,
1838,1146733022781280256,dani_vienna,🏴‍☠️🍩Dani🍩🥕,2019-07-04 10:50:32+00:00,,882,771,7869,http://pbs.twimg.com/profile_images/1502928982890749954/wOoPEgqY_normal.jpg,https://pbs.twimg.com/profile_banners/1146733022781280256/1580647481,
1869,1321719637,OrgThroatCoat,Cassius Jones,2013-04-02 04:08:12+00:00,I'm mobile,491,849,8787,http://pbs.twimg.com/profile_images/1455637404325490690/GKTmzLgE_normal.jpg,https://pbs.twimg.com/profile_banners/1321719637/1588365777,
2034,1398552668876857344,Tekashi33961633,Tekashi,2021-05-29 08:12:21+00:00,,0,22,51,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
2046,1290963049453682689,magnoliaveneno1,magnolia_venenosa,2020-08-05 10:49:24+00:00,Poland,124,243,5322,http://pbs.twimg.com/profile_images/1347844111454367745/4KVbbjFz_normal.jpg,https://pbs.twimg.com/profile_banners/1290963049453682689/1597780929,
2075,4848357525,Amittttx,A,2016-01-26 05:39:20+00:00,"Bhubaneshwar, India",2176,1182,63614,http://pbs.twimg.com/profile_images/1519582781835071488/lWFyHnkz_normal.jpg,https://pbs.twimg.com/profile_banners/4848357525/1644440895,
2087,724627813463146501,samjayne7755,Samantha Jayne 😈🏴󠁧󠁢󠁥󠁮󠁧󠁿,2016-04-25 15:55:08+00:00,Probably watching Netflix ,273,626,2913,http://pbs.twimg.com/profile_images/1237848285445939201/f8qw5nVn_normal.jpg,https://pbs.twimg.com/profile_banners/724627813463146501/1581884775,
2199,1306823991999385600,hokumspocus,Freddie Sanderson,2020-09-18 05:15:11+00:00,,1,75,444,http://pbs.twimg.com/profile_images/1513410384019206144/b5guXOSz_normal.jpg,https://pbs.twimg.com/profile_banners/1306823991999385600/1650268246,
2226,826408602,gklein99,yabloko,2012-09-16 03:35:56+00:00,,31,78,1066,http://pbs.twimg.com/profile_images/1267144070855561216/YjnjshS8_normal.jpg,https://pbs.twimg.com/profile_banners/826408602/1608657737,
2422,1496865136413495296,NormaJeaneBkr,Norma Jeane,2022-02-24 15:11:17+00:00,,13,51,425,http://pbs.twimg.com/profile_images/1496874225122037762/wMygXHeq_normal.jpg,,
2463,1041332596188229634,Crossdive1,Off The Cut,2018-09-16 14:26:52+00:00,,145,88,19592,http://pbs.twimg.com/profile_images/1262978495656816640/3Wiibp8Q_normal.jpg,https://pbs.twimg.com/profile_banners/1041332596188229634/1588727217,
2684,1323313457404456968,KosaDanielle,senator dani wald_mignon 🏴‍☠️,2020-11-02 17:18:23+00:00,Texas,413,355,10614,http://pbs.twimg.com/profile_images/1380162019261829127/Uk2g_0XH_normal.png,https://pbs.twimg.com/profile_banners/1323313457404456968/1629290522,
2752,18991266,laineyt123,laineyt123,2009-01-14 19:35:15+00:00,,223,617,5945,http://pbs.twimg.com/profile_images/1518185965948342273/k1jvDAwt_normal.png,https://pbs.twimg.com/profile_banners/18991266/1461703233,
2776,1139805743098449920,DawnMarieRoger3,Roux's Gal🍉🍉🍩🍩,2019-06-15 08:04:00+00:00,"Sweet Home, OR",108,170,1145,http://pbs.twimg.com/profile_images/1502745460150210562/wwPSPdf2_normal.jpg,https://pbs.twimg.com/profile_banners/1139805743098449920/1589463013,
2791,1499185345111498755,juniperjooon,Juniperjooon,2022-03-03 00:50:22+00:00,,2,40,177,http://pbs.twimg.com/profile_images/1513285159709253635/OD-h_Gwr_normal.jpg,https://pbs.twimg.com/profile_banners/1499185345111498755/1646793973,
2792,1396076898258669574,Cyprian21375633,Cyprian Cypex,2021-05-22 12:18:45+00:00,,3,43,1261,http://pbs.twimg.com/profile_images/1510519946689892354/iqR0vvZn_normal.jpg,https://pbs.twimg.com/profile_banners/1396076898258669574/1624610813,
2810,1386236414891892740,darkwillowz,✨Envil 𖤐⋆ Neil Gaiman is Magic (retired) 🏴‍ OFMD,2021-04-25 08:31:43+00:00,Envil Zan • They/She • 27,2385,1334,32746,http://pbs.twimg.com/profile_images/1518996866423300099/u6e1nqyn_normal.jpg,https://pbs.twimg.com/profile_banners/1386236414891892740/1641582836,
2994,1256682050549092352,AMundurek,Sadie Chandler #JusticeForJohnnyDepp 💖,2020-05-02 20:29:39+00:00,,54,120,1277,http://pbs.twimg.com/profile_images/1515747051950194692/OE08tafQ_normal.jpg,https://pbs.twimg.com/profile_banners/1256682050549092352/1643122940,
3162,1007232621477130240,AngelloeSookie,Angelique-Angello,2018-06-14 12:05:45+00:00,,68,275,3587,http://pbs.twimg.com/profile_images/1227795457725751297/6HdwbO2K_normal.jpg,https://pbs.twimg.com/profile_banners/1007232621477130240/1553885402,
