,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
42,480884706,hiheyitsmk,mk/maeve✨🏁,2012-02-02 01:25:26+00:00,♡nh♡,511,2094,15059,http://pbs.twimg.com/profile_images/1373489558185201664/aD3CWCPr_normal.jpg,https://pbs.twimg.com/profile_banners/480884706/1616300404,
14241,752797550,abebrux,abe the babe ☁︎,2012-08-12 09:21:23+00:00,santa clarita ,149,146,3467,http://pbs.twimg.com/profile_images/1369159220407324674/tdgIUDP8_normal.jpg,https://pbs.twimg.com/profile_banners/752797550/1611267129,
16917,1527209072,down2marsss,sailor puta,2013-06-18 08:55:19+00:00,"Los Angeles, CA",374,341,28063,http://pbs.twimg.com/profile_images/1336181676720881664/mySvfJU4_normal.jpg,https://pbs.twimg.com/profile_banners/1527209072/1594346547,
19703,1068683130914201601,annakaye__,anna🖤,2018-12-01 01:48:08+00:00,nuhweh ,1114,652,27555,http://pbs.twimg.com/profile_images/1375662670062497796/zGpt0qVD_normal.jpg,https://pbs.twimg.com/profile_banners/1068683130914201601/1617514045,
36297,705911767369687040,KayLSim,Blink 15-20,2016-03-05 00:24:15+00:00,somewhere dreaming ,481,358,72381,http://pbs.twimg.com/profile_images/1275887406663827457/5Gd_kcLq_normal.jpg,https://pbs.twimg.com/profile_banners/705911767369687040/1578712984,
46161,881012404313829376,brie_heebz,✨Brie✨,2017-07-01 04:51:40+00:00,"Woodbury, MN",80,500,2639,http://pbs.twimg.com/profile_images/1353115490013634563/occrrudO_normal.jpg,https://pbs.twimg.com/profile_banners/881012404313829376/1568602272,
48462,962927383434186752,vroses23,twentyfourandsad,2018-02-12 05:52:33+00:00,"Houston, TX",88,195,12483,http://pbs.twimg.com/profile_images/1364926228009005061/-apq0ANn_normal.jpg,https://pbs.twimg.com/profile_banners/962927383434186752/1611202955,
74669,633927648,tisleedeeya,leedeeya,2012-07-12 16:10:54+00:00,Hovering,843,785,43150,http://pbs.twimg.com/profile_images/1336228725223026689/kw7vbF5I_normal.jpg,https://pbs.twimg.com/profile_banners/633927648/1602503098,
79358,890359163053899778,eeegor_,al,2017-07-26 23:52:21+00:00,United Kingdom,121,418,9918,http://pbs.twimg.com/profile_images/1339211063892582402/dYhXRznt_normal.jpg,https://pbs.twimg.com/profile_banners/890359163053899778/1573003444,
83189,935495665,tusabesmusic,🥲,2012-11-08 21:36:07+00:00,"Fullerton, CA",275,164,19559,http://pbs.twimg.com/profile_images/1233981954006994947/t8HWOOiV_normal.jpg,https://pbs.twimg.com/profile_banners/935495665/1548880602,
86217,1089023863030075394,shepthesimp,shep☭,2019-01-26 04:54:56+00:00,Read Marx,289,315,3637,http://pbs.twimg.com/profile_images/1374089135741231105/oH-VmYcz_normal.jpg,https://pbs.twimg.com/profile_banners/1089023863030075394/1617097188,
107182,844945838405242880,yuppmayyy,may♡,2017-03-23 16:16:01+00:00,she/her ,1804,1070,61505,http://pbs.twimg.com/profile_images/1380660463483117569/0Q0aVze-_normal.jpg,https://pbs.twimg.com/profile_banners/844945838405242880/1615564783,
109614,1717490042,mbtmtech,New slight gambling fan (only for big events),2013-09-01 02:48:50+00:00,Looking For Topanga Lawrence,255,327,10392,http://pbs.twimg.com/profile_images/1001153395582029826/JlsCg0IL_normal.jpg,https://pbs.twimg.com/profile_banners/1717490042/1615489165,
109665,1108395632736325633,00Rashaad,RM📿,2019-03-20 15:51:26+00:00,Dying Planet,72,94,952,http://pbs.twimg.com/profile_images/1280677756708294657/O_vtCTBb_normal.jpg,https://pbs.twimg.com/profile_banners/1108395632736325633/1604713490,
121783,912854386036039680,James21wr1,IrSUSψ ψ ψ,2017-09-27 01:40:20+00:00,United States,49,148,462,http://pbs.twimg.com/profile_images/1086858339001069568/FyI2uECA_normal.jpg,https://pbs.twimg.com/profile_banners/912854386036039680/1547962167,
127675,901084347478011904,LAZARSNOTIGANG,🚀cody🚀 welcome to the beam team :),2017-08-25 14:10:24+00:00,she/her • 24hr pink sheep hunt,165,453,4748,http://pbs.twimg.com/profile_images/1362108716233986051/5ncgRVQ2_normal.jpg,https://pbs.twimg.com/profile_banners/901084347478011904/1614982388,
129012,2257337864,b_ndez,brian,2013-12-22 05:56:16+00:00,,188,167,7413,http://pbs.twimg.com/profile_images/1295564690911670272/Ua3pVC3g_normal.jpg,https://pbs.twimg.com/profile_banners/2257337864/1613610743,
134407,3920126598,HellboyAkuma,333.,2015-10-17 02:31:50+00:00,6 feet under,143,234,3514,http://pbs.twimg.com/profile_images/1350596075745370117/MBRRsUbX_normal.jpg,https://pbs.twimg.com/profile_banners/3920126598/1602108257,
134709,1061027986009481216,sky_destini96,💛Skylar 💛,2018-11-09 22:49:19+00:00,"St Louis, MO",95,661,8136,http://pbs.twimg.com/profile_images/1378324276214894593/Rrk9CIbv_normal.jpg,https://pbs.twimg.com/profile_banners/1061027986009481216/1618019474,
136247,631405632,LeeLee2017,max lee,2012-07-09 18:49:51+00:00,,276,189,3133,http://pbs.twimg.com/profile_images/876832981293424640/UQOfxJgz_normal.jpg,https://pbs.twimg.com/profile_banners/631405632/1491761906,
139044,985240368819200002,lyshabellyk,Lysha,2018-04-14 19:36:23+00:00,"Ontario, Canada",377,458,13104,http://pbs.twimg.com/profile_images/1376664058947067905/Oabv97cp_normal.jpg,https://pbs.twimg.com/profile_banners/985240368819200002/1617057264,
146166,2760850653,therealuhlysia,Lysia,2014-09-04 01:31:19+00:00,"San Antonio, TX",345,215,6515,http://pbs.twimg.com/profile_images/1369821404657577987/B8uXMepY_normal.jpg,https://pbs.twimg.com/profile_banners/2760850653/1604205458,
149252,787836208915226624,cyborge620,Hunter,2016-10-17 02:02:44+00:00,I LIVE SOMEWHERE!?,59,286,2619,http://pbs.twimg.com/profile_images/1289071473936814082/_ubJZ2p2_normal.jpg,https://pbs.twimg.com/profile_banners/787836208915226624/1596173564,
157891,2320166005,ZekeTHEFreak77,Zekezeke,2014-01-31 03:34:01+00:00,"Oklahoma, USA",32,184,2327,http://pbs.twimg.com/profile_images/800007581615947776/V5ZgmCkQ_normal.jpg,https://pbs.twimg.com/profile_banners/2320166005/1602651668,
159692,1161270411746861058,MichealFugett,Micheal Fugett,2019-08-13 13:36:56+00:00,,18,86,149,http://pbs.twimg.com/profile_images/1185359599274209280/9voP39bu_normal.jpg,,
162842,1270153457396142081,catmxr,cat👼🏼,2020-06-09 00:39:27+00:00,stampy’s love garden 💟,127,136,1524,http://pbs.twimg.com/profile_images/1378614300990828546/F-dKf6Tr_normal.jpg,https://pbs.twimg.com/profile_banners/1270153457396142081/1610592363,
167279,229241402,trina_jo_swan,T,2010-12-21 22:15:48+00:00,"Denver, CO",248,302,2475,http://pbs.twimg.com/profile_images/1331354345649164289/okVqXvfd_normal.jpg,https://pbs.twimg.com/profile_banners/229241402/1551853996,
169979,2605680186,okayIiz,One Woman Show. 🌿🌹🍃,2014-07-05 15:52:08+00:00,Mt. Vesuvius,164,387,14917,http://pbs.twimg.com/profile_images/1291642931921788929/l9o5ONT5_normal.jpg,https://pbs.twimg.com/profile_banners/2605680186/1586849016,
171537,612742851,shxynaa,shayna 🕷,2012-06-19 16:09:37+00:00,"Tampa, FL",479,435,6136,http://pbs.twimg.com/profile_images/1374586931477106690/CZS1Xf5__normal.jpg,https://pbs.twimg.com/profile_banners/612742851/1611673504,
172680,262231538,DevilClarke42,rhys clarke,2011-03-07 16:55:40+00:00,"Bristol, England",6,30,121,http://pbs.twimg.com/profile_images/1262102456894394370/fgWLgjQd_normal.jpg,https://pbs.twimg.com/profile_banners/262231538/1589744024,
179507,1234287723541913603,kaythestallion,POLE VRRRR RISE,2020-03-02 01:21:49+00:00,,16788,14565,49169,http://pbs.twimg.com/profile_images/1380704717085540358/4cPWnwbs_normal.jpg,https://pbs.twimg.com/profile_banners/1234287723541913603/1594306484,
181116,1226679002347163648,Bread90944718,B_read,2020-02-10 01:27:29+00:00,,1,5,72,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,
184246,1289915602069528576,IR0NFALCON,꘩ archie ﻬ,2020-08-02 13:27:11+00:00,under the canyon moon,982,1097,13047,http://pbs.twimg.com/profile_images/1377024113324199936/riKGhI3E_normal.jpg,https://pbs.twimg.com/profile_banners/1289915602069528576/1617143203,
186723,3409113994,WorldsGift,Zαyed 🇦🇪,2015-08-08 19:34:19+00:00,United Arab Emirates,1088,198,43008,http://pbs.twimg.com/profile_images/1270205799936204802/mCD70Lm8_normal.jpg,https://pbs.twimg.com/profile_banners/3409113994/1548447595,
