,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
6069,1089345021478928384,j_hhjl,Monkey,2019-01-27 02:11:06+00:00,,46,373,5343,http://pbs.twimg.com/profile_images/1293097428581851136/tj5lE2kI_normal.jpg,https://pbs.twimg.com/profile_banners/1089345021478928384/1574566124,
6131,336035350,davea1984,David Adams,2011-07-15 16:56:09+00:00,Parkersburg WV,1,64,65,http://pbs.twimg.com/profile_images/488831573525938176/4c2ax3CA_normal.jpeg,https://pbs.twimg.com/profile_banners/336035350/1476013116,
18573,4928305271,TanyaStump1,Tanya Stump,2016-02-18 16:17:47+00:00,"Treasure Lake, PA",44,1137,2656,http://pbs.twimg.com/profile_images/753982594077908992/dE4f0mOW_normal.jpg,https://pbs.twimg.com/profile_banners/4928305271/1468598432,
22702,59495315,ronaldotrancoso,Ronaldo Trancoso Jr,2009-07-23 15:27:38+00:00,Curitiba,1674,1444,86929,http://pbs.twimg.com/profile_images/1371870520963129344/5AQJL8eD_normal.jpg,https://pbs.twimg.com/profile_banners/59495315/1513025516,
26097,134628656,Deffshot,Deff #Doge,2010-04-19 00:50:59+00:00,Krypton ,1009,687,19739,http://pbs.twimg.com/profile_images/1371988309522714633/PgqkJZNG_normal.jpg,https://pbs.twimg.com/profile_banners/134628656/1616830675,
28325,111345567,tpwkmegg,meg🌻,2010-02-04 16:06:29+00:00,libra ☼ cancer ☾ aquarius ↑,6561,2930,151846,http://pbs.twimg.com/profile_images/1380308700053843972/xr0suR9V_normal.jpg,https://pbs.twimg.com/profile_banners/111345567/1608429691,
28844,1137072180,VSangelslove,ANGELS,2013-01-31 14:07:15+00:00,,29403,177,27355,http://pbs.twimg.com/profile_images/1064225249317847040/hh6bhoG1_normal.jpg,https://pbs.twimg.com/profile_banners/1137072180/1511344123,
29107,2385831769,JocelynnConway,🤍🦋✨,2014-03-12 21:15:20+00:00,,194,205,10347,http://pbs.twimg.com/profile_images/1351221948328652801/04HgDCrE_normal.jpg,https://pbs.twimg.com/profile_banners/2385831769/1612799872,
40049,932394567701352454,kim_seashore,Kim Seashore Jewelry Boutique,2017-11-19 23:46:02+00:00,"Florida, USA",2,3,2452,http://pbs.twimg.com/profile_images/932395507485413376/Cw5vqGgz_normal.jpg,https://pbs.twimg.com/profile_banners/932394567701352454/1511136429,
48333,1211048880902553600,Nightskylive,Nightskylive,2019-12-28 22:18:54+00:00,"New York, USA",50,34,1232,http://pbs.twimg.com/profile_images/1211049185388175361/VC-wWxoq_normal.jpg,https://pbs.twimg.com/profile_banners/1211048880902553600/1593251295,
59831,485913096,redjacketmedia,redjacketmedia,2012-02-07 18:21:23+00:00,UK,163,101,3438,http://pbs.twimg.com/profile_images/1302952987690762240/2JV81LHD_normal.jpg,https://pbs.twimg.com/profile_banners/485913096/1599483175,
62061,1065690777102270465,MonarcButtrfly,M o n a r c h✨,2018-11-22 19:37:35+00:00,"Chicago, IL",30,116,2000,http://pbs.twimg.com/profile_images/1379189875619082251/HbD4_8qx_normal.jpg,https://pbs.twimg.com/profile_banners/1065690777102270465/1617659465,
66665,1250232184369287170,l_a_i_sss,Laís,2020-04-15 01:19:27+00:00,En tu corazón,8,87,77,http://pbs.twimg.com/profile_images/1290404450256003072/QMin7uG4_normal.jpg,https://pbs.twimg.com/profile_banners/1250232184369287170/1596491370,
68154,39710039,persiawarrior,The Rev. Dr. PIB! Lord and Knight of Sealand,2009-05-13 07:43:52+00:00,"council bluffs, ia",33,97,1585,http://pbs.twimg.com/profile_images/1876273720/me_-_Copy_normal.jpg,,
68264,336302429,moonnigga1431,moonnigga,2011-07-16 02:19:58+00:00,,23,76,1781,http://pbs.twimg.com/profile_images/782682962609471489/Y7ySisVA_normal.jpg,https://pbs.twimg.com/profile_banners/336302429/1475441136,
68626,32889193,bgbrwneyesNY,Valerie Grella,2009-04-18 14:01:06+00:00,"Glen Cove, NY",2041,920,112767,http://pbs.twimg.com/profile_images/706895676182032384/aG-I2w4m_normal.jpg,https://pbs.twimg.com/profile_banners/32889193/1457331342,
70216,1152641527035961344,frutti52747512,frutti,2019-07-20 18:08:49+00:00,Pakistan,0,15,218,http://pbs.twimg.com/profile_images/1341415632491966467/s4DleLtd_normal.jpg,,
74264,1240251066169479168,OneEvilClown1,OneEvilClown,2020-03-18 12:18:09+00:00,,1,27,157,http://pbs.twimg.com/profile_images/1369182843658670083/TXj7Untx_normal.jpg,,
74414,2531464212,elledean2016,Gabrielle Dean,2014-05-29 03:15:47+00:00,,38,426,1523,http://pbs.twimg.com/profile_images/747143799537819649/kLT1I9jZ_normal.jpg,https://pbs.twimg.com/profile_banners/2531464212/1614928124,
74562,2798286801,patricia_linden,Patricia,2014-10-01 16:36:41+00:00,,2,11,8,http://pbs.twimg.com/profile_images/658204724546682880/H_ka8P8g_normal.jpg,,
