,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
2771,1269425599208022016,seanhancock34,sean :),2020-06-07 00:27:16+00:00,,29,41,274,http://pbs.twimg.com/profile_images/1269459428262080512/RW9ZrGzP_normal.jpg,https://pbs.twimg.com/profile_banners/1269425599208022016/1591497726,
5130,916472463369949184,PenisWright,zeke,2017-10-07 01:17:17+00:00,he/them,58,216,11187,http://pbs.twimg.com/profile_images/1332964090965336069/UPjjjp1p_normal.jpg,https://pbs.twimg.com/profile_banners/916472463369949184/1609707430,
9297,161945022,MercedesVelez05,Mercedes💫,2010-07-02 05:32:40+00:00,Pigfarts is on Mars :),309,2032,12006,http://pbs.twimg.com/profile_images/928368881713815553/3wjp6bDU_normal.jpg,https://pbs.twimg.com/profile_banners/161945022/1521010125,
9525,932741881729093632,rollrollrollins,Kiki,2017-11-20 22:46:08+00:00,Nigeria,1277,829,15226,http://pbs.twimg.com/profile_images/1376672813092855811/QeH7-_N4_normal.jpg,https://pbs.twimg.com/profile_banners/932741881729093632/1610965397,
13060,907292766329286656,forhim_me,Dev⁷,2017-09-11 17:20:26+00:00,Everywhere tbh,11,84,2148,http://pbs.twimg.com/profile_images/1070518786955067392/gq3GSvbP_normal.jpg,https://pbs.twimg.com/profile_banners/907292766329286656/1544066595,
13935,387132053,hannaluuluu,H▲nn▲,2011-10-08 14:36:34+00:00,,173,132,22272,http://pbs.twimg.com/profile_images/1373705625381826566/ktKqNkY3_normal.jpg,https://pbs.twimg.com/profile_banners/387132053/1597888543,
14090,1265773798671908864,AllooKaSamosa,R🥔,2020-05-27 22:36:18+00:00,,117,134,1682,http://pbs.twimg.com/profile_images/1353076689916452869/Kzcu9GYS_normal.jpg,https://pbs.twimg.com/profile_banners/1265773798671908864/1600340927,
14303,1036918070889996288,thearightnow,Thea,2018-09-04 10:05:07+00:00,,65,86,7375,http://pbs.twimg.com/profile_images/1151081795917500416/fy6pkNoc_normal.png,https://pbs.twimg.com/profile_banners/1036918070889996288/1615533763,
17821,1042082083684810752,righthandedpwr,Right Handed Power,2018-09-18 16:05:04+00:00,"California, USA",47,168,5817,http://pbs.twimg.com/profile_images/1042085804078592000/aS1Mmc4__normal.jpg,https://pbs.twimg.com/profile_banners/1042082083684810752/1537286936,
29215,1256115321968230400,JSComicArt,Javier Sanchez 🎨,2020-05-01 06:56:58+00:00,"Las Cruces, NM",1655,177,14453,http://pbs.twimg.com/profile_images/1355026678611910656/tBU_G62z_normal.jpg,https://pbs.twimg.com/profile_banners/1256115321968230400/1611897880,
30096,987778423,noodleheadkal,kali,2012-12-04 01:16:01+00:00,"Baton Rouge, LA",669,527,11520,http://pbs.twimg.com/profile_images/1253389310000271365/yY3RloVf_normal.jpg,https://pbs.twimg.com/profile_banners/987778423/1586660904,
33604,49359450,imjustluca,Luca,2009-06-21 16:45:29+00:00,Malta,177,427,11438,http://pbs.twimg.com/profile_images/1363904099922677762/CZEhI56N_normal.jpg,https://pbs.twimg.com/profile_banners/49359450/1483622400,
33922,818717806342479872,joserosa_98,j,2017-01-10 07:15:10+00:00,"California, USA",145,226,11414,http://pbs.twimg.com/profile_images/1266555637564989440/bQ_Zm54w_normal.jpg,https://pbs.twimg.com/profile_banners/818717806342479872/1600296430,
36994,1030523377759399936,MooneySteger,Xavier Mooney-Steger,2018-08-17 18:34:54+00:00,,65,673,4481,http://pbs.twimg.com/profile_images/1376969942411603971/Vn-R0PLJ_normal.jpg,https://pbs.twimg.com/profile_banners/1030523377759399936/1534732641,
50083,904963096883617792,kimtinyvantae,andie⁷ 🐯,2017-09-05 07:03:10+00:00,"California, USA",811,580,63109,http://pbs.twimg.com/profile_images/1384781153027035137/NC9k6CZU_normal.jpg,https://pbs.twimg.com/profile_banners/904963096883617792/1618992530,
51375,1353466519854845952,sydniysweeney,v ; punky power ⚡️,2021-01-24 22:15:45+00:00,,18,77,670,http://pbs.twimg.com/profile_images/1365185871075401730/DHrDvaoh_normal.jpg,https://pbs.twimg.com/profile_banners/1353466519854845952/1614364444,
52002,1329110177434521600,bubbIinewarrior,kier,2020-11-18 17:12:24+00:00,19 | they/them ,57,47,661,http://pbs.twimg.com/profile_images/1371538323194454027/IPnBW64a_normal.jpg,https://pbs.twimg.com/profile_banners/1329110177434521600/1615834726,
54535,1321555749894385664,Tyeler77678363,Tyeler,2020-10-28 20:53:50+00:00,,0,60,66,http://pbs.twimg.com/profile_images/1360252113452822528/F-F0g1-x_normal.jpg,,
65820,1266427056902082564,zw1ph,Swift,2020-05-29 17:52:03+00:00,,9,128,884,http://pbs.twimg.com/profile_images/1308947525467021313/6jS7frDg_normal.jpg,https://pbs.twimg.com/profile_banners/1266427056902082564/1601876684,
69902,916742942282309632,MattieWashburn,Mattie Washburn,2017-10-07 19:12:04+00:00,"Seattle, WA",1924,858,33767,http://pbs.twimg.com/profile_images/1371688385937469444/mDxzJdh5_normal.jpg,https://pbs.twimg.com/profile_banners/916742942282309632/1582396855,
