,user.id_str,user.screen_name,user.name,user.created_at,user.location,user.followers_count,user.friends_count,user.statuses_count,profile_image_url,profile_banner_url,user.lang
331,1281052525194391553,Imvkroyal181,chinnu,2020-07-09 02:28:27+00:00,,1,112,707,http://pbs.twimg.com/profile_images/1296794212948561921/Lj7mm4Gi_normal.jpg,,
673,1287454325485309954,WhatsItToYouHey,whodis,2020-07-26 18:27:10+00:00,,0,16,995,http://pbs.twimg.com/profile_images/1304501036044955648/oNipulf2_normal.jpg,,
681,3648039043,raconteursarah,SimplySara,2015-09-22 11:09:17+00:00,,38,115,3261,http://pbs.twimg.com/profile_images/1323391561132990464/DjMbPGkt_normal.jpg,https://pbs.twimg.com/profile_banners/3648039043/1445055275,
976,1668377484,mobbeatz_,mob,2013-08-13 17:55:36+00:00, Jersey,355,316,36530,http://pbs.twimg.com/profile_images/1355153806292615168/n2obgM2p_normal.jpg,https://pbs.twimg.com/profile_banners/1668377484/1612403712,
1516,1325025122,SuperKSTP,Kim St. Pierre,2013-04-03 16:58:56+00:00,,7,33,261,http://pbs.twimg.com/profile_images/3473367416/35833e994ea74f680a83520b745cad0d_normal.jpeg,https://pbs.twimg.com/profile_banners/1325025122/1365050227,
2226,73219066,Celinuchis90,Celine Signoret W,2009-09-10 20:59:12+00:00,,913,2443,28779,http://pbs.twimg.com/profile_images/1356020042190778372/ujfQka6J_normal.jpg,https://pbs.twimg.com/profile_banners/73219066/1548032725,
2577,1018397434492440576,BossTommey,BOSS_Tommey,2018-07-15 07:30:44+00:00,,3,30,55,http://pbs.twimg.com/profile_images/1018402837783629824/kpd8dVvq_normal.jpg,https://pbs.twimg.com/profile_banners/1018397434492440576/1533903719,
3138,2669945455,yve_style_com,YVE Style,2014-07-22 16:43:42+00:00,California,4603,1173,890,http://pbs.twimg.com/profile_images/1242492804447768578/sj7Pi0EV_normal.jpg,https://pbs.twimg.com/profile_banners/2669945455/1568740872,
3970,1015122141296013312,callmedaddy9015,roberto romero 🤒,2018-07-06 06:35:53+00:00,"Burbank, CA",19,99,1679,http://pbs.twimg.com/profile_images/1342737165185212417/fGfqdAlG_normal.jpg,https://pbs.twimg.com/profile_banners/1015122141296013312/1608968462,
4034,1071046842610278401,CelebDAQ2018,CelebDAQ - the celeb trading game,2018-12-07 14:20:41+00:00,"England, United Kingdom",148,854,6760,http://pbs.twimg.com/profile_images/1096413366803939328/2B2XcCv9_normal.png,https://pbs.twimg.com/profile_banners/1071046842610278401/1568974717,
4041,1284761880095977474,kvaknan,Kvaknan,2020-07-19 08:08:11+00:00,,258,228,4494,http://pbs.twimg.com/profile_images/1379756745883590656/OB7DDJ-I_normal.jpg,https://pbs.twimg.com/profile_banners/1284761880095977474/1617981418,
4120,183516971,matoaka23,✨UNFOLLOW ATDISNEYAGAIN✨ #metoo #BLM she/her,2010-08-27 05:25:23+00:00,South Florida born and raised!,855,348,25894,http://pbs.twimg.com/profile_images/1345940615104749568/zck-hZku_normal.jpg,https://pbs.twimg.com/profile_banners/183516971/1612750468,
4249,4051989855,AndrewGreene864,Dr. Andrew Greene | BLM,2015-10-27 08:10:17+00:00,United States,10529,9887,24361,http://pbs.twimg.com/profile_images/1375265547294801922/ZMTeTDAs_normal.jpg,https://pbs.twimg.com/profile_banners/4051989855/1560636647,
4338,848171785,sherlwatson,park gabri 🌳,2012-09-26 21:34:34+00:00,moonchild▪she/her,13783,6394,140295,http://pbs.twimg.com/profile_images/1353599729037357059/FGJYn-h6_normal.jpg,https://pbs.twimg.com/profile_banners/848171785/1611558275,
4770,621261228,IrishHusker5,Jon,2012-06-28 17:56:40+00:00,,828,1632,27600,http://pbs.twimg.com/profile_images/971820214919876608/E9vE0hbl_normal.jpg,https://pbs.twimg.com/profile_banners/621261228/1478149295,
4895,15613710,hatethejess,Jess Garcia // #SquareOneMJ,2008-07-26 19:51:29+00:00,"Austin, TX",1570,205,30300,http://pbs.twimg.com/profile_images/1378029169968304131/08WNECJy_normal.jpg,https://pbs.twimg.com/profile_banners/15613710/1617943327,
